0.0505 	-1.886640829e-16 	0.05 	-3.762553501e-18 	0
0.0515 	-1.887856909e-16 	0.05 	2.551279182e-18 	0
0.0525 	-1.898792933e-16 	0.05 	6.806354525e-18 	0
0.0535 	-1.91946248e-16 	0.05 	7.120984804e-18 	0
0.0545 	-1.931322359e-16 	0.05 	9.839617891e-18 	0
0.0555 	-1.936559198e-16 	0.05 	1.212051609e-17 	0
0.0565 	-1.942500061e-16 	0.05 	3.925074892e-18 	0
0.0575 	-1.945923456e-16 	0.05 	-6.043175145e-18 	0
0.0585 	-1.949545911e-16 	0.05 	-7.701501773e-18 	0
0.0595 	-1.952761812e-16 	0.05 	-7.713960748e-18 	0
0.0605 	-1.953844552e-16 	0.05 	-1.062918119e-17 	0
0.0615 	-1.950116455e-16 	0.05 	-1.754507177e-17 	0
0.0625 	-1.942273182e-16 	0.05 	-3.096700473e-17 	0
0.0635 	-1.939409439e-16 	0.05 	-4.47824299e-17 	0
0.0645 	-1.940303767e-16 	0.05 	-5.106270403e-17 	0
0.0655 	-1.942066321e-16 	0.05 	-5.283518609e-17 	0
0.0665 	-1.954077888e-16 	0.05 	-5.419002654e-17 	0
0.0675 	-1.975814653e-16 	0.05 	-5.03914234e-17 	0
0.0685 	-1.992645166e-16 	0.05 	-3.697853148e-17 	0
0.0695 	-1.999075007e-16 	0.05 	-2.143130473e-17 	0
0.0705 	-2.005581086e-16 	0.05 	-1.543841384e-17 	0
0.0715 	-2.022366955e-16 	0.05 	-1.637965375e-17 	0
0.0725 	-2.044984922e-16 	0.05 	-1.34142609e-17 	0
0.0735 	-2.068507791e-16 	0.05 	-1.083728169e-17 	0
0.0745 	-2.085167633e-16 	0.05 	-1.199827318e-17 	0
0.0755 	-2.091993897e-16 	0.05 	-5.108868703e-18 	0
0.0765 	-2.098116878e-16 	0.05 	7.421306526e-18 	0
0.0775 	-2.104885231e-16 	0.05 	1.240584287e-17 	0
0.0785 	-2.11787659e-16 	0.05 	1.300375615e-17 	0
0.0795 	-2.137403004e-16 	0.05 	1.92879302e-17 	0
0.0805 	-2.152084553e-16 	0.05 	2.628205518e-17 	0
0.0815 	-2.158599442e-16 	0.05 	2.567492126e-17 	0
0.0825 	-2.164211672e-16 	0.05 	2.118404502e-17 	0
0.0835 	-2.173748711e-16 	0.05 	2.016378717e-17 	0
0.0845 	-2.181424303e-16 	0.05 	2.144770941e-17 	0
