0.000125 	-1.441149784e-18 	0.00125 	1.47227799e-18 	0
0.000375 	-5.927881306e-19 	0.00375 	-9.763476259e-20 	0
0.000625 	3.741299862e-19 	0.00625 	-3.439862004e-18 	0
0.000875 	1.280473497e-18 	0.00875 	-7.664650839e-18 	0
0.001125 	1.397503329e-18 	0.01125 	-1.8489214e-17 	0
0.001375 	8.992218489e-19 	0.01375 	-2.549934052e-17 	0
0.001625 	5.016333281e-19 	0.01625 	-3.286612527e-17 	0
0.001875 	8.423717715e-19 	0.01875 	-3.376818757e-17 	0
0.002125 	1.057252063e-18 	0.02125 	-4.419671025e-17 	0
0.002375 	8.427214121e-19 	0.02375 	-4.794062098e-17 	0
0.002625 	5.50869408e-19 	0.02625 	-5.080546878e-17 	0
0.002875 	2.054211965e-19 	0.02875 	-5.283405031e-17 	0
0.003125 	-1.842645465e-20 	0.03125 	-5.372600075e-17 	0
0.003375 	-2.610071961e-19 	0.03375 	-5.501714525e-17 	0
0.003625 	4.722801683e-19 	0.03625 	-4.552999702e-17 	0
0.003875 	1.407831929e-18 	0.03875 	-4.940977844e-17 	0
0.004125 	1.053248907e-18 	0.04125 	-4.521224941e-17 	0
0.004375 	4.119250284e-19 	0.04375 	-4.401306948e-17 	0
0.004625 	1.261917258e-19 	0.04625 	-4.537951643e-17 	0
0.004875 	-9.906316717e-21 	0.04875 	-4.586468521e-17 	0
0.005125 	-2.887217247e-19 	0.05125 	-4.50456415e-17 	0
0.005375 	-7.407045481e-19 	0.05375 	-4.397329593e-17 	0
0.005625 	-8.170749227e-19 	0.05625 	-4.46905508e-17 	0
0.005875 	-8.521986089e-19 	0.05875 	-4.246149714e-17 	0
0.006125 	-9.525476271e-19 	0.06125 	-3.983390923e-17 	0
0.006375 	-9.561955053e-19 	0.06375 	-3.645158561e-17 	0
0.006625 	-1.08593211e-18 	0.06625 	-3.187527712e-17 	0
0.006875 	-1.527821018e-18 	0.06875 	-2.81175652e-17 	0
0.007125 	-1.730861621e-18 	0.07125 	-2.673519673e-17 	0
0.007375 	-1.023714112e-18 	0.07375 	-1.824170317e-17 	0
0.007625 	-8.066527242e-19 	0.07625 	-2.948143593e-17 	0
0.007875 	-6.527393338e-19 	0.07875 	-2.966027991e-17 	0
0.008125 	-1.154471785e-18 	0.08125 	-2.879786736e-17 	0
0.008375 	-1.604224861e-18 	0.08375 	-2.579778227e-17 	0
0.008625 	-1.922264594e-18 	0.08625 	-2.187621414e-17 	0
0.008875 	-2.56163889e-18 	0.08875 	-1.793372913e-17 	0
0.009125 	-3.975086426e-18 	0.09125 	-9.097768685e-18 	0
0.009375 	-4.609545115e-18 	0.09375 	-7.870895716e-18 	0
0.009625 	-4.422345245e-18 	0.09625 	-7.207653925e-18 	0
0.009875 	-4.273172675e-18 	0.09875 	-4.254639628e-18 	0
