station,re_x_target,re_x_actual,x_target,x_actual,tau_w_kinematic,tau_w_dynamic_Pa,cf_actual,cf_prandtl_schlichting,delta_pct_ps,cf_schultz_grunow,delta_pct_sg,face_index
S1,2000000.0,1999654.2685653146,0.418,0.41741354531823394,7.300854559002434,8.943546834777981,0.002979940636327524,0.003251851642694187,-8.361728524041224,0.0033257851644489123,-10.398883602534058,250
S2,4000000.0,4002893.3501510434,0.835,0.835575394748672,6.815791321000158,8.349344368225195,0.0027819556412245544,0.0028303940517471274,-1.711366319918361,0.002969898432023795,-6.328256507788038,369
S3,6000000.0,6013089.178217493,1.253,1.2551894153159144,6.663723730000026,8.163061569250033,0.0027198872367347046,0.0026091688066454456,4.2434368296625244,0.0027861807497402127,-2.3793687115126834,448
S4,8000000.0,8019445.386203013,1.67,1.6740019426171204,6.593691954000007,8.077272643650009,0.0026913028383673495,0.002463161228402885,9.262146843403823,0.0026658846714667627,0.9534608594527759,507
S5,9580000.0,9558694.249268139,2.0,1.9953091481472294,6.561399509000027,8.037714398525033,0.0026781222485714397,0.0023781650518699036,12.612967988310391,0.0025961551985864014,3.157247688029942,544
