# Force and moment coefficients
# dragDir       : (9.98814648e-01 0.00000000e+00 4.86754399e-02)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-4.86754399e-02 0.00000000e+00 9.98814648e-01)
# rollAxis      : (9.98814648e-01 0.00000000e+00 4.86754399e-02)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-4.86754399e-02 0.00000000e+00 9.98814648e-01)
# magUInf       : 2.49796991e+02
# lRef          : 1.00000000e+00
# Aref          : 2.00000000e-03
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
25              	5.16739883e-02	2.58369941e-02	2.58369941e-02	3.38171602e-01	5.27875756e-02	2.85384026e-01	-1.16298225e-01	5.45360271e-21	-1.10938892e-19	8.73640447e-20	-6.72568699e-20	1.54620915e-19
26              	5.08100494e-02	2.54050247e-02	2.54050247e-02	3.41574820e-01	5.34815022e-02	2.88093317e-01	-1.17305908e-01	5.68202200e-21	-1.10853482e-19	9.28740903e-20	-6.44164368e-20	1.57290527e-19
27              	4.99183373e-02	2.49591686e-02	2.49591686e-02	3.45222873e-01	5.42676246e-02	2.90955248e-01	-1.18343812e-01	5.93515256e-21	-1.10816015e-19	9.84745278e-20	-6.15787513e-20	1.60053279e-19
28              	4.89617968e-02	2.44808984e-02	2.44808984e-02	3.49224955e-01	5.51990697e-02	2.94025886e-01	-1.19413408e-01	6.21210551e-21	-1.10799080e-19	1.03956791e-19	-5.88206845e-20	1.62777476e-19
29              	4.79249112e-02	2.39624556e-02	2.39624556e-02	3.53642974e-01	5.63152740e-02	2.97327700e-01	-1.20506213e-01	6.50894401e-21	-1.10778714e-19	1.09148276e-19	-5.62045762e-20	1.65352852e-19
30              	4.68039393e-02	2.34019697e-02	2.34019697e-02	3.58502931e-01	5.76390013e-02	3.00863929e-01	-1.21612464e-01	6.82002014e-21	-1.10740184e-19	1.13911196e-19	-5.37845866e-20	1.67695782e-19
31              	4.56116744e-02	2.28058372e-02	2.28058372e-02	3.63788880e-01	5.91780155e-02	3.04610865e-01	-1.22716425e-01	7.13667533e-21	-1.10680584e-19	1.18120578e-19	-5.16202957e-20	1.69740873e-19
32              	4.43657831e-02	2.21828915e-02	2.21828915e-02	3.69454193e-01	6.09227807e-02	3.08531413e-01	-1.23804316e-01	7.44993348e-21	-1.10605144e-19	1.21684481e-19	-4.97629035e-20	1.71447384e-19
33              	4.30905431e-02	2.15452715e-02	2.15452715e-02	3.75414802e-01	6.28520604e-02	3.12562741e-01	-1.24855341e-01	7.74953802e-21	-1.10529595e-19	1.24531951e-19	-4.82636200e-20	1.72795571e-19
34              	4.18136787e-02	2.09068394e-02	2.09068394e-02	3.81605279e-01	6.49368595e-02	3.16668419e-01	-1.25865780e-01	8.02555286e-21	-1.10471214e-19	1.26629556e-19	-4.71564355e-20	1.73785992e-19
35              	4.05595578e-02	2.02797789e-02	2.02797789e-02	3.87902565e-01	6.71426306e-02	3.20759934e-01	-1.26808652e-01	8.26943582e-21	-1.10450557e-19	1.27954797e-19	-4.64731587e-20	1.74427956e-19
36              	3.93541870e-02	1.96770935e-02	1.96770935e-02	3.94245486e-01	6.94368035e-02	3.24808683e-01	-1.27685940e-01	8.47400072e-21	-1.10480117e-19	1.28537040e-19	-4.62115971e-20	1.74748637e-19
