name,x_m,Cf_run,Cf_ref,abs_error,rel_error,within_tolerance
skin_friction_coefficient,5.831081e-01,2.874067e-03,2.898079e-03,2.401210e-05,8.285523e-03,true
skin_friction_coefficient,5.952703e-01,2.864911e-03,2.889216e-03,2.430498e-05,8.412308e-03,true
skin_friction_coefficient,6.074324e-01,2.856000e-03,2.880566e-03,2.456580e-05,8.528116e-03,true
skin_friction_coefficient,6.195946e-01,2.847311e-03,2.872129e-03,2.481819e-05,8.641044e-03,true
skin_friction_coefficient,6.317568e-01,2.838844e-03,2.863890e-03,2.504537e-05,8.745229e-03,true
skin_friction_coefficient,6.439189e-01,2.830578e-03,2.855840e-03,2.526213e-05,8.845780e-03,true
skin_friction_coefficient,6.560811e-01,2.822467e-03,2.847977e-03,2.551080e-05,8.957513e-03,true
skin_friction_coefficient,6.682432e-01,2.814533e-03,2.840290e-03,2.575663e-05,9.068309e-03,true
skin_friction_coefficient,6.804054e-01,2.806822e-03,2.832765e-03,2.594308e-05,9.158217e-03,true
skin_friction_coefficient,6.925676e-01,2.799267e-03,2.825403e-03,2.613595e-05,9.250346e-03,true
skin_friction_coefficient,7.047297e-01,2.791867e-03,2.818196e-03,2.632967e-05,9.342739e-03,true
skin_friction_coefficient,7.168919e-01,2.784622e-03,2.811141e-03,2.651894e-05,9.433515e-03,true
skin_friction_coefficient,7.290541e-01,2.777511e-03,2.804230e-03,2.671935e-05,9.528229e-03,true
skin_friction_coefficient,7.412162e-01,2.770556e-03,2.797459e-03,2.690348e-05,9.617114e-03,true
skin_friction_coefficient,7.533784e-01,2.763733e-03,2.790824e-03,2.709065e-05,9.707042e-03,true
skin_friction_coefficient,7.655405e-01,2.757089e-03,2.784322e-03,2.723341e-05,9.780983e-03,true
skin_friction_coefficient,7.777027e-01,2.750556e-03,2.777943e-03,2.738780e-05,9.859021e-03,true
skin_friction_coefficient,7.898649e-01,2.744133e-03,2.771682e-03,2.754858e-05,9.939302e-03,true
skin_friction_coefficient,8.020270e-01,2.737800e-03,2.765545e-03,2.774451e-05,1.003220e-02,true
skin_friction_coefficient,8.141892e-01,2.731244e-03,2.759517e-03,2.827288e-05,1.024559e-02,true
skin_friction_coefficient,8.263514e-01,2.724733e-03,2.753597e-03,2.886397e-05,1.048228e-02,true
skin_friction_coefficient,8.385135e-01,2.718400e-03,2.747788e-03,2.938830e-05,1.069526e-02,true
skin_friction_coefficient,8.506757e-01,2.712178e-03,2.742076e-03,2.989819e-05,1.090349e-02,true
skin_friction_coefficient,8.628378e-01,2.706067e-03,2.736469e-03,3.040266e-05,1.111018e-02,true
skin_friction_coefficient,8.750000e-01,2.700044e-03,2.730954e-03,3.091000e-05,1.131839e-02,true
skin_friction_coefficient,8.871622e-01,2.694133e-03,2.725534e-03,3.140072e-05,1.152094e-02,true
skin_friction_coefficient,8.993243e-01,2.688333e-03,2.720207e-03,3.187343e-05,1.171728e-02,true
skin_friction_coefficient,9.114865e-01,2.682622e-03,2.714961e-03,3.233909e-05,1.191144e-02,true
skin_friction_coefficient,9.236486e-01,2.677022e-03,2.709807e-03,3.278490e-05,1.209861e-02,true
skin_friction_coefficient,9.358108e-01,2.671533e-03,2.704735e-03,3.320194e-05,1.227549e-02,true
skin_friction_coefficient,9.479730e-01,2.666133e-03,2.699740e-03,3.360628e-05,1.244797e-02,true
skin_friction_coefficient,9.601351e-01,2.660800e-03,2.694819e-03,3.401879e-05,1.262378e-02,true
skin_friction_coefficient,9.722973e-01,2.655556e-03,2.689983e-03,3.442780e-05,1.279852e-02,true
skin_friction_coefficient,9.844595e-01,2.650400e-03,2.685228e-03,3.482768e-05,1.297010e-02,true
skin_friction_coefficient,9.966216e-01,2.645311e-03,2.680542e-03,3.523116e-05,1.314330e-02,true
skin_friction_coefficient,1.008784e+00,2.640311e-03,2.675912e-03,3.560039e-05,1.330402e-02,true
skin_friction_coefficient,1.020946e+00,2.635378e-03,2.671352e-03,3.597470e-05,1.346685e-02,true
skin_friction_coefficient,1.033108e+00,2.630556e-03,2.666868e-03,3.631244e-05,1.361614e-02,true
skin_friction_coefficient,1.045270e+00,2.625778e-03,2.662437e-03,3.665956e-05,1.376917e-02,true
skin_friction_coefficient,1.057432e+00,2.621089e-03,2.658068e-03,3.697883e-05,1.391192e-02,true
skin_friction_coefficient,1.069595e+00,2.616444e-03,2.653756e-03,3.731170e-05,1.405996e-02,true
skin_friction_coefficient,1.081757e+00,2.611889e-03,2.649502e-03,3.761322e-05,1.419634e-02,true
skin_friction_coefficient,1.093919e+00,2.607378e-03,2.645305e-03,3.792685e-05,1.433742e-02,true
skin_friction_coefficient,1.106081e+00,2.602933e-03,2.641163e-03,3.822935e-05,1.447444e-02,true
skin_friction_coefficient,1.118243e+00,2.598556e-03,2.637075e-03,3.851941e-05,1.460687e-02,true
skin_friction_coefficient,1.130405e+00,2.594244e-03,2.633041e-03,3.879693e-05,1.473464e-02,true
skin_friction_coefficient,1.142568e+00,2.590000e-03,2.629064e-03,3.906384e-05,1.485846e-02,true
skin_friction_coefficient,1.154730e+00,2.585800e-03,2.625137e-03,3.933689e-05,1.498470e-02,true
