# y+ ()         
# Time          	patch           	min             	max             	average         
1000            	aerofoil	2.83271229e-02	7.11485841e-01	3.08103609e-01
2000            	aerofoil	2.36437610e-02	7.11410109e-01	3.08349401e-01
2627            	aerofoil	2.24589671e-02	7.10113611e-01	3.08989355e-01
