name,x_m,value,units,source
skin_friction_coefficient,1.410000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.430000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.450000e+00,6.033320e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.470000e+00,6.033320e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.490000e+00,6.033320e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.510000e+00,6.033320e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.530000e+00,6.033320e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.550000e+00,6.033320e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.570000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.590000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.610000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.630000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.650000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.670000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.690000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.710000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.730000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.750000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.770000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.790000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.810000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.830000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.850000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.870000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.890000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.910000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.930000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.950000e+00,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.970000e+00,6.033300e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.990000e+00,6.032880e-03,dimensionless,openfoam_wallShearStress
