station,Re_x,x_m,tau_kin,Cf_actual,Cf_Wieghardt,Delta_pct_W,Cf_SG,Delta_pct_SG
S1,996412.300000,0.199282,7.817004,0.003246,0.003574,-9.186041,0.003748,-13.390191
S2,1993272.400000,0.398654,7.043255,0.002925,0.003170,-7.742197,0.003328,-12.106213
S3,2994397.650000,0.598880,6.639014,0.002757,0.002962,-6.937493,0.003112,-11.405033
S4,4011615.650000,0.802323,6.369725,0.002645,0.002825,-6.360980,0.002969,-10.907627
S5,4972184.350000,0.994437,6.182698,0.002567,0.002729,-5.934272,0.002870,-10.541546
