x_m,p_kinematic_m2_s2
2.485000e-01,1.211573e-01
2.495000e-01,1.206756e-01
2.505000e-01,1.201938e-01
2.515000e-01,1.197121e-01
2.525000e-01,1.192304e-01
2.535000e-01,1.187486e-01
2.545000e-01,1.182669e-01
2.555000e-01,1.177852e-01
2.565000e-01,1.173034e-01
2.575000e-01,1.168217e-01
2.585000e-01,1.163399e-01
2.595000e-01,1.158582e-01
2.605000e-01,1.153765e-01
2.615000e-01,1.148947e-01
2.625000e-01,1.144130e-01
2.635000e-01,1.139312e-01
2.645000e-01,1.134495e-01
2.655000e-01,1.129678e-01
2.665000e-01,1.124860e-01
2.675000e-01,1.120043e-01
2.685000e-01,1.115225e-01
2.695000e-01,1.110408e-01
2.705000e-01,1.105591e-01
2.715000e-01,1.100773e-01
2.725000e-01,1.095956e-01
2.735000e-01,1.091139e-01
2.745000e-01,1.086321e-01
2.755000e-01,1.081504e-01
2.765000e-01,1.076686e-01
2.775000e-01,1.071869e-01
2.785000e-01,1.067052e-01
2.795000e-01,1.062234e-01
2.805000e-01,1.057417e-01
2.815000e-01,1.052599e-01
2.825000e-01,1.047782e-01
2.835000e-01,1.042965e-01
2.845000e-01,1.038147e-01
2.855000e-01,1.033330e-01
2.865000e-01,1.028512e-01
2.875000e-01,1.023695e-01
2.885000e-01,1.018878e-01
2.895000e-01,1.014060e-01
2.905000e-01,1.009243e-01
2.915000e-01,1.004426e-01
2.925000e-01,9.996081e-02
2.935000e-01,9.947908e-02
2.945000e-01,9.899734e-02
2.955000e-01,9.851560e-02
2.965000e-01,9.803386e-02
2.975000e-01,9.755212e-02
2.985000e-01,9.707038e-02
2.995000e-01,9.658864e-02
3.005000e-01,9.610690e-02
3.015000e-01,9.562516e-02
3.025000e-01,9.514343e-02
3.035000e-01,9.466169e-02
3.045000e-01,9.417995e-02
3.055000e-01,9.369821e-02
3.065000e-01,9.321647e-02
3.075000e-01,9.273473e-02
3.085000e-01,9.225299e-02
3.095000e-01,9.177125e-02
3.105000e-01,9.128951e-02
3.115000e-01,9.080778e-02
3.125000e-01,9.032604e-02
3.135000e-01,8.984430e-02
3.145000e-01,8.936256e-02
3.155000e-01,8.888082e-02
3.165000e-01,8.839908e-02
3.175000e-01,8.791734e-02
3.185000e-01,8.743560e-02
3.195000e-01,8.695386e-02
3.205000e-01,8.647213e-02
3.215000e-01,8.599039e-02
3.225000e-01,8.550865e-02
3.235000e-01,8.502691e-02
3.245000e-01,8.454517e-02
3.255000e-01,8.406343e-02
3.265000e-01,8.358169e-02
3.275000e-01,8.309995e-02
3.285000e-01,8.261821e-02
3.295000e-01,8.213648e-02
3.305000e-01,8.165474e-02
3.315000e-01,8.117300e-02
3.325000e-01,8.069126e-02
3.335000e-01,8.020952e-02
3.345000e-01,7.972778e-02
3.355000e-01,7.924604e-02
3.365000e-01,7.876430e-02
3.375000e-01,7.828257e-02
3.385000e-01,7.780083e-02
3.395000e-01,7.731909e-02
3.405000e-01,7.683735e-02
3.415000e-01,7.635561e-02
3.425000e-01,7.587387e-02
3.435000e-01,7.539213e-02
3.445000e-01,7.491039e-02
3.455000e-01,7.442865e-02
3.465000e-01,7.394692e-02
3.475000e-01,7.346518e-02
3.485000e-01,7.298344e-02
3.495000e-01,7.250170e-02
3.505000e-01,7.201996e-02
3.515000e-01,7.153822e-02
3.525000e-01,7.105648e-02
3.535000e-01,7.057474e-02
3.545000e-01,7.009300e-02
3.555000e-01,6.961127e-02
3.565000e-01,6.912953e-02
3.575000e-01,6.864779e-02
3.585000e-01,6.816605e-02
3.595000e-01,6.768431e-02
3.605000e-01,6.720257e-02
3.615000e-01,6.672083e-02
3.625000e-01,6.623909e-02
3.635000e-01,6.575735e-02
3.645000e-01,6.527562e-02
3.655000e-01,6.479388e-02
3.665000e-01,6.431214e-02
3.675000e-01,6.383040e-02
3.685000e-01,6.334866e-02
3.695000e-01,6.286692e-02
3.705000e-01,6.238518e-02
3.715000e-01,6.190344e-02
3.725000e-01,6.142170e-02
3.735000e-01,6.093997e-02
3.745000e-01,6.045823e-02
3.755000e-01,5.997649e-02
3.765000e-01,5.949475e-02
3.775000e-01,5.901301e-02
3.785000e-01,5.853127e-02
3.795000e-01,5.804953e-02
3.805000e-01,5.756779e-02
3.815000e-01,5.708606e-02
3.825000e-01,5.660432e-02
3.835000e-01,5.612258e-02
3.845000e-01,5.564084e-02
