# Force and moment coefficients
# dragDir       : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# rollAxis      : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# magUInf       : 4.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
50              	8.94209703e-02	4.47155734e-02	4.47053969e-02	8.20883058e-01	4.16451650e-01	4.04431408e-01	6.01012122e-03	5.08823819e-06	-6.06938656e-07	-2.21179296e-07	-7.17528304e-07	4.96349008e-07
100             	9.03536021e-02	4.51832532e-02	4.51703489e-02	8.37748877e-01	4.22617704e-01	4.15131173e-01	3.74326572e-03	6.45213628e-06	-7.00409852e-07	6.50212192e-09	-6.97158791e-07	7.03660913e-07
150             	9.03271397e-02	4.51695860e-02	4.51575537e-02	8.37923777e-01	4.22731930e-01	4.15191847e-01	3.77004119e-03	6.01613832e-06	-1.31680369e-06	-3.94356328e-07	-1.51398185e-06	1.11962552e-06
200             	9.03190693e-02	4.51651125e-02	4.51539568e-02	8.37907181e-01	4.22720978e-01	4.15186203e-01	3.76738757e-03	5.57786272e-06	-4.94065636e-07	-3.12840922e-08	-5.09707682e-07	4.78423589e-07
250             	9.03209920e-02	4.51666844e-02	4.51543076e-02	8.37921693e-01	4.22729157e-01	4.15192536e-01	3.76831049e-03	6.18842983e-06	-5.54592276e-07	1.13164721e-07	-4.98009915e-07	6.11174636e-07
300             	9.03194922e-02	4.51650606e-02	4.51544316e-02	8.37910908e-01	4.22721130e-01	4.15189778e-01	3.76567604e-03	5.31447511e-06	-6.05581852e-07	-1.94350092e-07	-7.02756898e-07	5.08406806e-07
350             	9.03224259e-02	4.51679194e-02	4.51545066e-02	8.37909379e-01	4.22726765e-01	4.15182614e-01	3.77207548e-03	6.70638773e-06	-8.00079737e-07	-3.89835439e-07	-9.94997456e-07	6.05162017e-07
400             	9.03213186e-02	4.51660614e-02	4.51552572e-02	8.37902498e-01	4.22720234e-01	4.15182264e-01	3.76898522e-03	5.40206375e-06	-4.67941581e-07	-3.49571916e-07	-6.42727538e-07	2.93155623e-07
450             	9.03221614e-02	4.51664687e-02	4.51556927e-02	8.37939195e-01	4.22733322e-01	4.15205873e-01	3.76372454e-03	5.38802877e-06	-5.37952341e-07	-5.36567323e-07	-8.06236003e-07	2.69668680e-07
500             	9.03156911e-02	4.51643665e-02	4.51513246e-02	8.37901931e-01	4.22724196e-01	4.15177735e-01	3.77323053e-03	6.52090495e-06	-7.94047862e-07	3.26670161e-08	-7.77714354e-07	8.10381370e-07
550             	9.03165447e-02	4.51643902e-02	4.51521545e-02	8.37908345e-01	4.22726055e-01	4.15182290e-01	3.77188277e-03	6.11784014e-06	-6.20327955e-07	-2.60381248e-07	-7.50518579e-07	4.90137331e-07
600             	9.03193435e-02	4.51656111e-02	4.51537324e-02	8.37925269e-01	4.22730443e-01	4.15194825e-01	3.76780896e-03	5.93933251e-06	-6.94789281e-07	-2.21324964e-07	-8.05451763e-07	5.84126799e-07
650             	9.03199701e-02	4.51661467e-02	4.51538234e-02	8.37918155e-01	4.22729126e-01	4.15189029e-01	3.77004893e-03	6.16161203e-06	-7.81096661e-07	-2.25261664e-07	-8.93727493e-07	6.68465829e-07
700             	9.03177685e-02	4.51640389e-02	4.51537296e-02	8.37913410e-01	4.22724907e-01	4.15188503e-01	3.76820234e-03	5.15463982e-06	-6.10191313e-07	-1.97346585e-07	-7.08864606e-07	5.11518021e-07
750             	9.03260788e-02	4.51686211e-02	4.51574577e-02	8.37945534e-01	4.22736834e-01	4.15208700e-01	3.76406694e-03	5.58173855e-06	-3.86092612e-07	-1.28700818e-07	-4.50443021e-07	3.21742203e-07
800             	9.03169489e-02	4.51638218e-02	4.51531271e-02	8.37907533e-01	4.22724866e-01	4.15182666e-01	3.77109982e-03	5.34738898e-06	-6.20406004e-07	1.92256128e-08	-6.10793197e-07	6.30018810e-07
850             	9.03234428e-02	4.51672983e-02	4.51561445e-02	8.37912889e-01	4.22724851e-01	4.15188038e-01	3.76840657e-03	5.57694044e-06	-8.71952763e-07	-2.14662480e-07	-9.79284003e-07	7.64621522e-07
900             	9.03221865e-02	4.51667595e-02	4.51554271e-02	8.37910820e-01	4.22730274e-01	4.15180547e-01	3.77486345e-03	5.66619479e-06	-7.04955537e-07	-5.56536192e-07	-9.83223633e-07	4.26687441e-07
950             	9.03149564e-02	4.51630292e-02	4.51519273e-02	8.37915800e-01	4.22729933e-01	4.15185867e-01	3.77203286e-03	5.55094207e-06	-6.25725895e-07	-3.51000892e-07	-8.01226341e-07	4.50225449e-07
1000            	9.03192402e-02	4.51652446e-02	4.51539956e-02	8.37915664e-01	4.22727037e-01	4.15188627e-01	3.76920527e-03	5.62449554e-06	-8.42397247e-07	8.27331580e-08	-8.01030668e-07	8.83763826e-07
1050            	9.03221724e-02	4.51675550e-02	4.51546175e-02	8.37906066e-01	4.22722003e-01	4.15184064e-01	3.76896927e-03	6.46875919e-06	-9.34525835e-07	-7.84777816e-08	-9.73764725e-07	8.95286944e-07
1100            	9.03165048e-02	4.51643318e-02	4.51521730e-02	8.37919450e-01	4.22730273e-01	4.15189177e-01	3.77054759e-03	6.07939089e-06	-5.29293297e-07	-1.54413475e-07	-6.06500035e-07	4.52086559e-07
1150            	9.03205701e-02	4.51667477e-02	4.51538225e-02	8.37905080e-01	4.22724430e-01	4.15180650e-01	3.77189007e-03	6.46260504e-06	-5.15241766e-07	2.11226339e-07	-4.09628596e-07	6.20854935e-07
1200            	9.03202344e-02	4.51662953e-02	4.51539391e-02	8.37916157e-01	4.22728658e-01	4.15187499e-01	3.77057915e-03	6.17806238e-06	-5.24783317e-07	3.72273389e-08	-5.06169648e-07	5.43396987e-07
1250            	9.03237413e-02	4.51687986e-02	4.51549427e-02	8.37915530e-01	4.22731280e-01	4.15184250e-01	3.77351541e-03	6.92792455e-06	-9.67973165e-07	-5.03656553e-07	-1.21980144e-06	7.16144888e-07
1300            	9.03197494e-02	4.51655790e-02	4.51541704e-02	8.37909197e-01	4.22724279e-01	4.15184918e-01	3.76968087e-03	5.70427047e-06	-8.62055781e-07	-1.48241457e-07	-9.36176510e-07	7.87935052e-07
1350            	9.03219862e-02	4.51655224e-02	4.51564638e-02	8.37911090e-01	4.22726447e-01	4.15184642e-01	3.77090248e-03	4.52931668e-06	-8.32079814e-07	-2.90019163e-07	-9.77089396e-07	6.87070233e-07
1400            	9.03214405e-02	4.51652551e-02	4.51561854e-02	8.37907067e-01	4.22722240e-01	4.15184827e-01	3.76870670e-03	4.53487398e-06	-5.62744489e-07	-4.07545527e-07	-7.66517252e-07	3.58971725e-07
1450            	9.03040471e-02	4.51587607e-02	4.51452863e-02	8.37912157e-01	4.22731548e-01	4.15180609e-01	3.77546914e-03	6.73720164e-06	-1.13834385e-06	-2.31674801e-07	-1.25418125e-06	1.02250645e-06
1500            	9.03325152e-02	4.51721628e-02	4.51603524e-02	8.37923609e-01	4.22735445e-01	4.15188164e-01	3.77364010e-03	5.90523259e-06	-1.08994303e-06	-2.66600923e-07	-1.22324350e-06	9.56642573e-07
1550            	9.03203838e-02	4.51660070e-02	4.51543768e-02	8.37893845e-01	4.22716737e-01	4.15177108e-01	3.76981447e-03	5.81509257e-06	-5.39657115e-07	-2.36586804e-07	-6.57950516e-07	4.21363713e-07
1600            	9.03207392e-02	4.51658601e-02	4.51548791e-02	8.37900590e-01	4.22721779e-01	4.15178811e-01	3.77148383e-03	5.49051455e-06	-8.85602123e-07	-3.82885182e-07	-1.07704471e-06	6.94159532e-07
1650            	9.03217942e-02	4.51652746e-02	4.51565196e-02	8.37892083e-01	4.22717723e-01	4.15174360e-01	3.77168146e-03	4.37750904e-06	-3.33612459e-07	1.63845730e-07	-2.51689594e-07	4.15535324e-07
1700            	9.03253661e-02	4.51675644e-02	4.51578017e-02	8.37886066e-01	4.22714207e-01	4.15171859e-01	3.77117383e-03	4.88135938e-06	-5.56758885e-07	9.87431270e-08	-5.07387321e-07	6.06130448e-07
1750            	9.03264065e-02	4.51676672e-02	4.51587392e-02	8.37902998e-01	4.22724279e-01	4.15178719e-01	3.77277978e-03	4.46399903e-06	-7.80575867e-08	-3.72631698e-07	-2.64373436e-07	-1.08258262e-07
1800            	9.03234356e-02	4.51679502e-02	4.51554854e-02	8.37891556e-01	4.22722828e-01	4.15168728e-01	3.77705042e-03	6.23239156e-06	-7.13930685e-07	-1.77265522e-07	-8.02563446e-07	6.25297924e-07
1850            	9.03192880e-02	4.51662975e-02	4.51529906e-02	8.37891052e-01	4.22716699e-01	4.15174353e-01	3.77117272e-03	6.65344526e-06	-6.94490347e-07	-2.56577765e-07	-8.22779230e-07	5.66201464e-07
1900            	9.03215657e-02	4.51660112e-02	4.51555545e-02	8.37879752e-01	4.22714643e-01	4.15165108e-01	3.77476747e-03	5.22831664e-06	-4.42565190e-07	-1.70316048e-07	-5.27723214e-07	3.57407166e-07
1950            	9.03215478e-02	4.51663624e-02	4.51551854e-02	8.37900252e-01	4.22718410e-01	4.15181843e-01	3.76828361e-03	5.58852857e-06	-7.17466454e-07	-8.40304465e-08	-7.59481678e-07	6.75451231e-07
2000            	9.03252987e-02	4.51685131e-02	4.51567856e-02	8.37878840e-01	4.22711898e-01	4.15166942e-01	3.77247760e-03	5.86377915e-06	-6.38880819e-07	-2.56236327e-07	-7.66998983e-07	5.10762656e-07
2050            	9.03241762e-02	4.51668654e-02	4.51573108e-02	8.37888657e-01	4.22716952e-01	4.15171705e-01	3.77262369e-03	4.77727979e-06	-8.06593031e-07	-2.83067121e-07	-9.48126592e-07	6.65059470e-07
2100            	9.03220120e-02	4.51660919e-02	4.51559201e-02	8.37881012e-01	4.22713659e-01	4.15167354e-01	3.77315237e-03	5.08586169e-06	-3.21247311e-07	-2.50969245e-07	-4.46731934e-07	1.95762689e-07
2150            	9.03220217e-02	4.51673064e-02	4.51547153e-02	8.37871294e-01	4.22713894e-01	4.15157401e-01	3.77824661e-03	6.29555457e-06	-7.82247961e-07	-6.33133770e-09	-7.85413629e-07	7.79082292e-07
2200            	9.03225610e-02	4.51665710e-02	4.51559900e-02	8.37882215e-01	4.22719151e-01	4.15163063e-01	3.77804396e-03	5.29049644e-06	-3.77504352e-07	-4.24148261e-07	-5.89578483e-07	1.65430222e-07
2250            	9.03196462e-02	4.51654809e-02	4.51541653e-02	8.37889462e-01	4.22716308e-01	4.15173154e-01	3.77157688e-03	5.65781208e-06	-1.89337532e-07	-3.53793623e-07	-3.66234343e-07	1.24407201e-08
2300            	9.03245063e-02	4.51674688e-02	4.51570375e-02	8.37889155e-01	4.22717008e-01	4.15172147e-01	3.77243081e-03	5.21561418e-06	-2.80378351e-07	-4.44873365e-07	-5.02815034e-07	5.79416680e-08
2350            	9.03218267e-02	4.51660311e-02	4.51557956e-02	8.37888849e-01	4.22717732e-01	4.15171116e-01	3.77330797e-03	5.11774682e-06	-7.61471287e-07	-2.47881930e-07	-8.85412252e-07	6.37530322e-07
2400            	9.03232970e-02	4.51661925e-02	4.51571045e-02	8.37895125e-01	4.22715907e-01	4.15179218e-01	3.76834471e-03	4.54399623e-06	-2.50053222e-07	-1.04861519e-07	-3.02483982e-07	1.97622463e-07
2450            	9.03256597e-02	4.51687361e-02	4.51569236e-02	8.37897676e-01	4.22717684e-01	4.15179991e-01	3.76884670e-03	5.90622991e-06	-9.05990758e-07	-1.40732532e-07	-9.76357024e-07	8.35624492e-07
2500            	9.03229529e-02	4.51674418e-02	4.51555111e-02	8.37877597e-01	4.22712328e-01	4.15165270e-01	3.77352917e-03	5.96535086e-06	-1.09988076e-06	-2.89865436e-07	-1.24481348e-06	9.54948041e-07
2550            	9.03217037e-02	4.51659219e-02	4.51557818e-02	8.37892499e-01	4.22722660e-01	4.15169839e-01	3.77641030e-03	5.07002752e-06	-6.59989921e-07	-2.18714515e-07	-7.69347179e-07	5.50632664e-07
2600            	9.03232285e-02	4.51669225e-02	4.51563060e-02	8.37887319e-01	4.22718325e-01	4.15168993e-01	3.77466616e-03	5.30824446e-06	-7.00389869e-07	-4.24615373e-07	-9.12697556e-07	4.88082183e-07
2650            	9.03204389e-02	4.51655668e-02	4.51548721e-02	8.37877803e-01	4.22713092e-01	4.15164711e-01	3.77419072e-03	5.34737399e-06	-4.58437104e-07	-2.74583862e-07	-5.95729035e-07	3.21145173e-07
2700            	9.03236378e-02	4.51681833e-02	4.51554545e-02	8.37912280e-01	4.22728495e-01	4.15183785e-01	3.77235491e-03	6.36442145e-06	-7.51461512e-07	-4.67227941e-07	-9.85075482e-07	5.17847542e-07
2750            	9.03209967e-02	4.51666929e-02	4.51543038e-02	8.37891849e-01	4.22714202e-01	4.15177647e-01	3.76827745e-03	6.19454686e-06	-7.18482331e-07	-2.58121575e-07	-8.47543119e-07	5.89421544e-07
2800            	9.03234048e-02	4.51677109e-02	4.51556939e-02	8.37877994e-01	4.22716115e-01	4.15161879e-01	3.77711839e-03	6.00846221e-06	-1.10242813e-06	-4.58403117e-07	-1.33162969e-06	8.73226575e-07
2850            	9.03244850e-02	4.51681743e-02	4.51563108e-02	8.37884404e-01	4.22719549e-01	4.15164855e-01	3.77734710e-03	5.93175000e-06	-5.97513355e-07	-3.92009223e-07	-7.93517967e-07	4.01508743e-07
2900            	9.03233070e-02	4.51677518e-02	4.51555552e-02	8.37896745e-01	4.22719798e-01	4.15176947e-01	3.77142529e-03	6.09827884e-06	-6.62163485e-07	-2.00386345e-07	-7.62356658e-07	5.61970313e-07
2950            	9.03189921e-02	4.51659869e-02	4.51530051e-02	8.37881290e-01	4.22713858e-01	4.15167432e-01	3.77321313e-03	6.49090810e-06	-1.08368968e-06	-7.64161189e-08	-1.12189774e-06	1.04548162e-06
3000            	9.03204631e-02	4.51666568e-02	4.51538062e-02	8.37879099e-01	4.22713593e-01	4.15165506e-01	3.77404354e-03	6.42529211e-06	-7.84839605e-07	-3.80854523e-07	-9.75266867e-07	5.94412344e-07
3050            	9.03221470e-02	4.51666080e-02	4.51555390e-02	8.37881464e-01	4.22716536e-01	4.15164928e-01	3.77580396e-03	5.53448086e-06	-3.35195207e-07	-2.24116831e-07	-4.47253623e-07	2.23136791e-07
3100            	9.03263701e-02	4.51686727e-02	4.51576974e-02	8.37888633e-01	4.22717049e-01	4.15171583e-01	3.77273294e-03	5.48765871e-06	-6.24706758e-07	-4.66716059e-07	-8.58064788e-07	3.91348729e-07
3150            	9.03231054e-02	4.51677343e-02	4.51553711e-02	8.37902927e-01	4.22725009e-01	4.15177918e-01	3.77354549e-03	6.18162644e-06	-7.57747838e-07	-3.17004544e-07	-9.16250110e-07	5.99245566e-07
3200            	9.03199242e-02	4.51651407e-02	4.51547835e-02	8.37886812e-01	4.22718007e-01	4.15168805e-01	3.77460113e-03	5.17856436e-06	-7.34363975e-07	-2.83629341e-07	-8.76178645e-07	5.92549304e-07
3250            	9.03232826e-02	4.51664068e-02	4.51568758e-02	8.37899253e-01	4.22722843e-01	4.15176410e-01	3.77321682e-03	4.76551466e-06	-5.53135005e-07	-9.96095023e-09	-5.58115480e-07	5.48154530e-07
3300            	9.03265231e-02	4.51693668e-02	4.51571563e-02	8.37893770e-01	4.22721710e-01	4.15172060e-01	3.77482476e-03	6.10527986e-06	-5.98561043e-07	-9.84798592e-08	-6.47800972e-07	5.49321113e-07
3350            	9.03268174e-02	4.51699031e-02	4.51569144e-02	8.37896070e-01	4.22719584e-01	4.15176486e-01	3.77154885e-03	6.49435751e-06	-7.97798660e-07	-1.82217496e-07	-8.88907409e-07	7.06689912e-07
3400            	9.03216005e-02	4.51671582e-02	4.51544423e-02	8.37893098e-01	4.22717817e-01	4.15175281e-01	3.77126801e-03	6.35795965e-06	-7.18907106e-07	-2.76406100e-07	-8.57110156e-07	5.80704056e-07
3450            	9.03230199e-02	4.51670422e-02	4.51559777e-02	8.37892269e-01	4.22720308e-01	4.15171962e-01	3.77417300e-03	5.53226854e-06	-7.67576837e-07	-3.26564852e-08	-7.83905080e-07	7.51248594e-07
3500            	9.03191226e-02	4.51658019e-02	4.51533206e-02	8.37890138e-01	4.22720534e-01	4.15169604e-01	3.77546472e-03	6.24066991e-06	-5.19377809e-07	-2.73000811e-07	-6.55878214e-07	3.82877403e-07
3550            	9.03272415e-02	4.51690755e-02	4.51581661e-02	8.37906749e-01	4.22724140e-01	4.15182609e-01	3.77076553e-03	5.45467963e-06	-5.38424897e-07	-6.51095811e-08	-5.70979688e-07	5.05870107e-07
3600            	9.03224652e-02	4.51678578e-02	4.51546073e-02	8.37899253e-01	4.22721746e-01	4.15177507e-01	3.77211956e-03	6.62524666e-06	-8.77993338e-07	-5.63351556e-08	-9.06160916e-07	8.49825760e-07
3650            	9.03213522e-02	4.51662828e-02	4.51550694e-02	8.37875189e-01	4.22711206e-01	4.15163984e-01	3.77361086e-03	5.60671481e-06	-5.32389113e-07	-1.44238907e-07	-6.04508566e-07	4.60269659e-07
3700            	9.03232637e-02	4.51670472e-02	4.51562164e-02	8.37899043e-01	4.22721755e-01	4.15177287e-01	3.77223392e-03	5.41538630e-06	-5.61042243e-07	1.52737623e-07	-4.84673432e-07	6.37411055e-07
3750            	9.03237002e-02	4.51675552e-02	4.51561451e-02	8.37885733e-01	4.22720280e-01	4.15165452e-01	3.77741392e-03	5.70505446e-06	-5.58353361e-07	5.26427075e-08	-5.32032008e-07	5.84674715e-07
3800            	9.03220537e-02	4.51668298e-02	4.51552239e-02	8.37881372e-01	4.22711200e-01	4.15170171e-01	3.77051452e-03	5.80294137e-06	-6.34048316e-07	-7.90015995e-08	-6.73549116e-07	5.94547517e-07
3850            	9.03192952e-02	4.51664962e-02	4.51527990e-02	8.37904488e-01	4.22719676e-01	4.15184812e-01	3.76743190e-03	6.84862230e-06	-9.75427127e-07	-3.06557293e-07	-1.12870577e-06	8.22148480e-07
3900            	9.03219090e-02	4.51664307e-02	4.51554784e-02	8.37865441e-01	4.22707550e-01	4.15157891e-01	3.77482946e-03	5.47614735e-06	-6.37529803e-07	-2.44213379e-07	-7.59636492e-07	5.15423114e-07
3950            	9.03224125e-02	4.51667076e-02	4.51557049e-02	8.37884302e-01	4.22713802e-01	4.15170500e-01	3.77165083e-03	5.50134775e-06	-9.79109947e-07	-2.24969818e-07	-1.09159486e-06	8.66625038e-07
4000            	9.03197342e-02	4.51654096e-02	4.51543246e-02	8.37893729e-01	4.22719348e-01	4.15174381e-01	3.77248346e-03	5.54252401e-06	-5.65700287e-07	5.06735966e-08	-5.40363489e-07	5.91037085e-07
4050            	9.03244094e-02	4.51672003e-02	4.51572091e-02	8.37889077e-01	4.22716885e-01	4.15172192e-01	3.77234629e-03	4.99562223e-06	-7.54726104e-07	1.58057147e-07	-6.75697530e-07	8.33754677e-07
4100            	9.03176993e-02	4.51639113e-02	4.51537880e-02	8.37889551e-01	4.22718124e-01	4.15171427e-01	3.77334818e-03	5.06162496e-06	-2.75720092e-07	-2.21230791e-07	-3.86335487e-07	1.65104696e-07
4150            	9.03150417e-02	4.51624434e-02	4.51525983e-02	8.37892148e-01	4.22721904e-01	4.15170244e-01	3.77583011e-03	4.92256731e-06	-2.93382012e-07	-2.92391141e-07	-4.39577583e-07	1.47186442e-07
4200            	9.03261246e-02	4.51682422e-02	4.51578824e-02	8.37903921e-01	4.22725985e-01	4.15177936e-01	3.77402423e-03	5.17989333e-06	-4.93914378e-07	-2.46327814e-07	-6.17078285e-07	3.70750471e-07
4250            	9.03255687e-02	4.51679966e-02	4.51575721e-02	8.37888451e-01	4.22724144e-01	4.15164307e-01	3.77991815e-03	5.21223466e-06	-4.91438997e-07	7.92360755e-08	-4.51820960e-07	5.31057035e-07
4300            	9.03205078e-02	4.51649938e-02	4.51555140e-02	8.37887357e-01	4.22715333e-01	4.15172024e-01	3.77165437e-03	4.73990342e-06	-5.55305180e-07	-1.09036401e-08	-5.60757000e-07	5.49853360e-07
4350            	9.03249442e-02	4.51684411e-02	4.51565031e-02	8.37894840e-01	4.22718228e-01	4.15176612e-01	3.77080794e-03	5.96896750e-06	-6.82807901e-07	-3.98907602e-07	-8.82261702e-07	4.83354100e-07
4400            	9.03208606e-02	4.51662973e-02	4.51545633e-02	8.37880416e-01	4.22712228e-01	4.15168188e-01	3.77202015e-03	5.86702130e-06	-9.22622095e-07	-3.33060651e-07	-1.08915242e-06	7.56091769e-07
4450            	9.03204026e-02	4.51666632e-02	4.51537394e-02	8.37889201e-01	4.22714469e-01	4.15174732e-01	3.76986895e-03	6.46192849e-06	-9.03112115e-07	-3.73957217e-08	-9.21809976e-07	8.84414254e-07
4500            	9.03268949e-02	4.51686711e-02	4.51582238e-02	8.37897231e-01	4.22723181e-01	4.15174050e-01	3.77456542e-03	5.22364082e-06	-2.05280366e-07	-1.84147039e-07	-2.97353885e-07	1.13206846e-07
4550            	9.03184196e-02	4.51652114e-02	4.51532082e-02	8.37885317e-01	4.22715231e-01	4.15170086e-01	3.77257225e-03	6.00158008e-06	-8.71545348e-07	-9.50000350e-08	-9.19045366e-07	8.24045331e-07
4600            	9.03211496e-02	4.51661819e-02	4.51549677e-02	8.37879638e-01	4.22713877e-01	4.15165761e-01	3.77405810e-03	5.60711506e-06	-1.01045157e-06	-3.40533079e-07	-1.18071811e-06	8.40185031e-07
4650            	9.03243007e-02	4.51671218e-02	4.51571789e-02	8.37888287e-01	4.22713239e-01	4.15175048e-01	3.76909574e-03	4.97142703e-06	-1.83147842e-07	-2.66604407e-07	-3.16450046e-07	4.98456386e-08
4700            	9.03259884e-02	4.51682075e-02	4.51577809e-02	8.37896303e-01	4.22722477e-01	4.15173826e-01	3.77432559e-03	5.21327626e-06	-5.71179593e-07	-3.76289436e-08	-5.89994065e-07	5.52365121e-07
4750            	9.03255956e-02	4.51675050e-02	4.51580906e-02	8.37884837e-01	4.22718283e-01	4.15166553e-01	3.77586495e-03	4.70724048e-06	-2.29436028e-07	-2.50347327e-07	-3.54609692e-07	1.04262365e-07
4800            	9.03174573e-02	4.51645154e-02	4.51529420e-02	8.37892438e-01	4.22722301e-01	4.15170137e-01	3.77608204e-03	5.78669376e-06	-6.29116275e-07	1.09139462e-08	-6.23659302e-07	6.34573248e-07
4850            	9.03194572e-02	4.51653026e-02	4.51541546e-02	8.37883862e-01	4.22714464e-01	4.15169398e-01	3.77253308e-03	5.57399976e-06	-7.89039557e-07	-3.22460111e-07	-9.50269612e-07	6.27809501e-07
4900            	9.03203100e-02	4.51664001e-02	4.51539099e-02	8.37880326e-01	4.22716968e-01	4.15163358e-01	3.77680490e-03	6.24511744e-06	-9.05940089e-07	-3.13176502e-07	-1.06252834e-06	7.49351838e-07
