# y+ ()         
# Time          	patch           	min             	max             	average         
500             	naca0012	1.53850818e+02	4.23347086e+03	1.15240746e+03
1000            	naca0012	1.53843366e+02	4.23796952e+03	1.15241732e+03
1500            	naca0012	1.53851022e+02	4.23777747e+03	1.15244769e+03
2000            	naca0012	1.53778876e+02	4.23479464e+03	1.15239087e+03
2500            	naca0012	1.53798226e+02	4.24045824e+03	1.15240911e+03
3000            	naca0012	1.53782328e+02	4.22920555e+03	1.15237977e+03
3500            	naca0012	1.53799790e+02	4.23480406e+03	1.15242699e+03
4000            	naca0012	1.53781966e+02	4.22976462e+03	1.15239631e+03
4500            	naca0012	1.53794356e+02	4.23612835e+03	1.15241736e+03
5000            	naca0012	1.53786021e+02	4.21872118e+03	1.15238451e+03
