# Force and moment coefficients
# dragDir       : (9.65925867e-01 2.58818893e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-2.58818893e-01 9.65925867e-01 0.00000000e+00)
# rollAxis      : (9.65925867e-01 2.58818893e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-2.58818893e-01 9.65925867e-01 0.00000000e+00)
# magUInf       : 4.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
50              	1.73418047e-01	8.67160903e-02	8.67019562e-02	1.00649221e+00	4.91756149e-01	5.14736056e-01	-1.14899535e-02	7.06704849e-06	-6.07532804e-06	-5.60927251e-06	-8.87996429e-06	3.27069178e-06
100             	1.74294411e-01	8.71506704e-02	8.71437405e-02	1.04318617e+00	5.15352009e-01	5.27834161e-01	-6.24107597e-03	3.46498713e-06	-6.19129751e-06	-2.55688531e-06	-7.46974017e-06	4.91285486e-06
150             	1.73770963e-01	8.69028313e-02	8.68681317e-02	1.04593773e+00	5.17523279e-01	5.28414447e-01	-5.44558419e-03	1.73498271e-05	-9.26277641e-06	1.90549050e-07	-9.16750189e-06	9.35805094e-06
200             	1.73776938e-01	8.69041134e-02	8.68728251e-02	1.04729997e+00	5.18282080e-01	5.29017887e-01	-5.36790312e-03	1.56441732e-05	-8.27931869e-06	6.55307272e-07	-7.95166505e-06	8.60697233e-06
250             	1.73776523e-01	8.69035045e-02	8.68730185e-02	1.04729244e+00	5.18279664e-01	5.29012780e-01	-5.36655814e-03	1.52430235e-05	-8.10456040e-06	5.40116896e-07	-7.83450195e-06	8.37461885e-06
300             	1.73774305e-01	8.69027307e-02	8.68715744e-02	1.04728956e+00	5.18278466e-01	5.29011090e-01	-5.36631228e-03	1.55781725e-05	-8.70529494e-06	1.93130982e-07	-8.60872945e-06	8.80186043e-06
350             	1.73772639e-01	8.69015503e-02	8.68710886e-02	1.04727733e+00	5.18286985e-01	5.28990350e-01	-5.35168262e-03	1.52308602e-05	-7.71763095e-06	6.84074556e-07	-7.37559367e-06	8.05966823e-06
400             	1.73683690e-01	8.68550753e-02	8.68286149e-02	1.04709897e+00	5.18442246e-01	5.28656727e-01	-5.10724054e-03	1.32301893e-05	-5.33169424e-06	-1.72604699e-06	-6.19471774e-06	4.46867075e-06
450             	1.73349426e-01	8.66785681e-02	8.66708583e-02	1.05009428e+00	5.21095133e-01	5.28999144e-01	-3.95200542e-03	3.85492306e-06	-3.13405510e-06	-3.46148866e-06	-4.86479943e-06	1.40331077e-06
500             	1.73274683e-01	8.66412997e-02	8.66333835e-02	1.05157311e+00	5.22084012e-01	5.29489097e-01	-3.70254288e-03	3.95810418e-06	-3.12402935e-06	-3.38461808e-06	-4.81633839e-06	1.43172032e-06
550             	1.73266283e-01	8.66373616e-02	8.66289209e-02	1.05168962e+00	5.22170947e-01	5.29518675e-01	-3.67386394e-03	4.22035022e-06	-3.06846016e-06	-3.28197421e-06	-4.70944727e-06	1.42747306e-06
600             	1.73263281e-01	8.66357246e-02	8.66275565e-02	1.05175994e+00	5.22219082e-01	5.29540854e-01	-3.66088622e-03	4.08407519e-06	-3.27599086e-06	-3.38495057e-06	-4.96846615e-06	1.58351558e-06
650             	1.73248952e-01	8.66288932e-02	8.66200587e-02	1.05178157e+00	5.22245606e-01	5.29535960e-01	-3.64517703e-03	4.41725928e-06	-3.15298501e-06	-3.36498578e-06	-4.83547790e-06	1.47049212e-06
700             	1.73262052e-01	8.66357518e-02	8.66263005e-02	1.05171578e+00	5.22184280e-01	5.29531501e-01	-3.67361064e-03	4.72567612e-06	-3.49806596e-06	-3.42997948e-06	-5.21305570e-06	1.78307623e-06
750             	1.73267415e-01	8.66381558e-02	8.66292590e-02	1.05173194e+00	5.22197067e-01	5.29534869e-01	-3.66890086e-03	4.44839251e-06	-3.58701723e-06	-3.52669086e-06	-5.35036266e-06	1.82367180e-06
800             	1.73261015e-01	8.66344600e-02	8.66265546e-02	1.05174460e+00	5.22212466e-01	5.29532130e-01	-3.65983241e-03	3.95269900e-06	-3.06675987e-06	-3.52569461e-06	-4.82960717e-06	1.30391256e-06
850             	1.73259170e-01	8.66336443e-02	8.66255256e-02	1.05173189e+00	5.22197194e-01	5.29534701e-01	-3.66875317e-03	4.05934594e-06	-3.11727497e-06	-3.39459451e-06	-4.81457222e-06	1.41997771e-06
900             	1.73244388e-01	8.66268642e-02	8.66175234e-02	1.05182708e+00	5.22320223e-01	5.29506859e-01	-3.59331783e-03	4.67043812e-06	-3.04931754e-06	-3.32085358e-06	-4.70974433e-06	1.38889075e-06
950             	1.73247331e-01	8.66281836e-02	8.66191473e-02	1.05186777e+00	5.22295123e-01	5.29572647e-01	-3.63876173e-03	4.51817337e-06	-3.44081563e-06	-3.41113004e-06	-5.14638065e-06	1.73525061e-06
1000            	1.73255474e-01	8.66317748e-02	8.66236990e-02	1.05176734e+00	5.22224391e-01	5.29542948e-01	-3.65927854e-03	4.03789777e-06	-3.15667240e-06	-3.44906392e-06	-4.88120436e-06	1.43214044e-06
1050            	1.73260928e-01	8.66345220e-02	8.66264056e-02	1.05177524e+00	5.22235311e-01	5.29539925e-01	-3.65230677e-03	4.05820957e-06	-3.21240347e-06	-3.49348084e-06	-4.95914389e-06	1.46566305e-06
1100            	1.73269233e-01	8.66390086e-02	8.66302242e-02	1.05177046e+00	5.22210382e-01	5.29560076e-01	-3.67484695e-03	4.39220402e-06	-3.52969303e-06	-3.48300918e-06	-5.27119762e-06	1.78818845e-06
1150            	1.73262428e-01	8.66352160e-02	8.66272122e-02	1.05173679e+00	5.22207452e-01	5.29529337e-01	-3.66094246e-03	4.00192281e-06	-3.17904638e-06	-3.49588681e-06	-4.92698979e-06	1.43110298e-06
1200            	1.73259337e-01	8.66338256e-02	8.66255117e-02	1.05177850e+00	5.22233485e-01	5.29545012e-01	-3.65576343e-03	4.15694451e-06	-2.98490240e-06	-3.44899725e-06	-4.70940103e-06	1.26040378e-06
1250            	1.73266602e-01	8.66374783e-02	8.66291237e-02	1.05178711e+00	5.22241253e-01	5.29545855e-01	-3.65230097e-03	4.17733884e-06	-3.13357748e-06	-3.63134994e-06	-4.94925245e-06	1.31790251e-06
1300            	1.73253847e-01	8.66309947e-02	8.66228518e-02	1.05169123e+00	5.22188510e-01	5.29502717e-01	-3.65710347e-03	4.07141406e-06	-3.03617772e-06	-3.41478762e-06	-4.74357153e-06	1.32878390e-06
1350            	1.73257868e-01	8.66331230e-02	8.66247448e-02	1.05182927e+00	5.22284666e-01	5.29544607e-01	-3.62997034e-03	4.18909442e-06	-3.21748845e-06	-3.49832329e-06	-4.96665010e-06	1.46832681e-06
1400            	1.73266314e-01	8.66367575e-02	8.66295561e-02	1.05177797e+00	5.22222693e-01	5.29555274e-01	-3.66629050e-03	3.60068487e-06	-2.91530101e-06	-3.47105244e-06	-4.65082723e-06	1.17977479e-06
1450            	1.73257279e-01	8.66327215e-02	8.66245578e-02	1.05172772e+00	5.22199647e-01	5.29528068e-01	-3.66421030e-03	4.08189293e-06	-3.30645023e-06	-3.61734511e-06	-5.11512279e-06	1.49777768e-06
1500            	1.73268516e-01	8.66383699e-02	8.66301466e-02	1.05177371e+00	5.22229229e-01	5.29544477e-01	-3.65762368e-03	4.11162702e-06	-3.27821794e-06	-3.32506769e-06	-4.94075178e-06	1.61568410e-06
1550            	1.73265627e-01	8.66373796e-02	8.66282478e-02	1.05175378e+00	5.22216325e-01	5.29537452e-01	-3.66056334e-03	4.56591750e-06	-3.48715175e-06	-3.41364602e-06	-5.19397476e-06	1.78032874e-06
