# y+ ()         
# Time          	patch           	min             	max             	average         
500             	naca0012	3.94012805e+01	4.69170214e+03	9.68631017e+02
1000            	naca0012	3.92697988e+01	4.69151515e+03	9.68640090e+02
1500            	naca0012	3.86109494e+01	4.69177205e+03	9.68462536e+02
2000            	naca0012	3.93626153e+01	4.69079122e+03	9.68775759e+02
2500            	naca0012	3.87074574e+01	4.69982679e+03	9.68992356e+02
3000            	naca0012	3.90796374e+01	4.69957072e+03	9.69411818e+02
3500            	naca0012	3.94245244e+01	4.70078667e+03	9.69681718e+02
4000            	naca0012	3.86809814e+01	4.69939675e+03	9.69168687e+02
4500            	naca0012	3.90411161e+01	4.69963977e+03	9.69458621e+02
5000            	naca0012	3.94458479e+01	4.69970405e+03	9.69748955e+02
