# Force and moment coefficients
# dragDir       : (9.51055966e-01 3.09018689e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-3.09018689e-01 9.51055966e-01 0.00000000e+00)
# rollAxis      : (9.51055966e-01 3.09018689e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-3.09018689e-01 9.51055966e-01 0.00000000e+00)
# magUInf       : 4.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1250            	2.38911619e-01	1.19460666e-01	1.19450954e-01	1.10165041e+00	5.22247993e-01	5.79402416e-01	-2.85772115e-02	4.85616621e-06	-6.56202981e-06	-6.30256926e-06	-9.71331444e-06	3.41074519e-06
1300            	2.38906257e-01	1.19456645e-01	1.19449612e-01	1.10155214e+00	5.22186141e-01	5.79366004e-01	-2.85899315e-02	3.51664008e-06	-5.24749556e-06	-5.76801417e-06	-8.13150265e-06	2.36348848e-06
1350            	2.38912736e-01	1.19455684e-01	1.19457052e-01	1.10158870e+00	5.22203495e-01	5.79385208e-01	-2.85908568e-02	-6.83867993e-07	-2.12605451e-05	-2.89886201e-05	-3.57548551e-05	6.76623508e-06
1400            	2.38908869e-01	1.19453824e-01	1.19455044e-01	1.10149524e+00	5.22159125e-01	5.79336114e-01	-2.85884944e-02	-6.10117725e-07	-2.04432003e-05	-2.76943668e-05	-3.42903837e-05	6.59601695e-06
1450            	2.38902569e-01	1.19456334e-01	1.19446235e-01	1.10155821e+00	5.22200828e-01	5.79357385e-01	-2.85782788e-02	5.04913854e-06	-1.91848419e-06	-3.33235412e-07	-2.08510190e-06	1.75186649e-06
1500            	2.38902692e-01	1.19452416e-01	1.19450276e-01	1.10176300e+00	5.22339441e-01	5.79423562e-01	-2.85420603e-02	1.06969258e-06	-1.52886280e-05	-1.97771011e-05	-2.51771785e-05	5.40007746e-06
1550            	2.38887938e-01	1.19449016e-01	1.19438922e-01	1.10179773e+00	5.22381390e-01	5.79416341e-01	-2.85174752e-02	5.04702667e-06	-4.97472861e-06	-4.42081673e-06	-7.18513698e-06	2.76432024e-06
1600            	2.38952539e-01	1.19479225e-01	1.19473314e-01	1.10157955e+00	5.22143101e-01	5.79436449e-01	-2.86466740e-02	2.95589028e-06	-1.05631111e-05	-1.24495950e-05	-1.67879086e-05	4.33831363e-06
1650            	2.38921824e-01	1.19465119e-01	1.19456705e-01	1.10138789e+00	5.22079546e-01	5.79308345e-01	-2.86143994e-02	4.20745722e-06	-5.84417695e-06	-5.92915690e-06	-8.80875540e-06	2.87959850e-06
1700            	2.38916179e-01	1.19462053e-01	1.19454126e-01	1.10151219e+00	5.22157313e-01	5.79354880e-01	-2.85987833e-02	3.96324728e-06	-9.37519975e-06	-1.04318252e-05	-1.45911123e-05	4.15928717e-06
1750            	2.38935889e-01	1.19470942e-01	1.19464947e-01	1.10163653e+00	5.22220216e-01	5.79416314e-01	-2.85980492e-02	2.99710524e-06	-7.73665399e-06	-8.89630891e-06	-1.21848084e-05	3.28849953e-06
1800            	2.38936601e-01	1.19472854e-01	1.19463748e-01	1.10147993e+00	5.22108332e-01	5.79371599e-01	-2.86316333e-02	4.55303803e-06	-6.45199177e-06	-6.75366072e-06	-9.82882213e-06	3.07516141e-06
1850            	2.38897915e-01	1.19452963e-01	1.19444951e-01	1.10144092e+00	5.22128079e-01	5.79312836e-01	-2.85923784e-02	4.00603414e-06	-8.78945462e-06	-9.78521412e-06	-1.36820617e-05	3.89684756e-06
1900            	2.38933855e-01	1.19469865e-01	1.19463990e-01	1.10162275e+00	5.22198583e-01	5.79424169e-01	-2.86127932e-02	2.93709737e-06	-9.41242668e-06	-1.12779328e-05	-1.50513931e-05	3.77346028e-06
1950            	2.38927650e-01	1.19474669e-01	1.19452981e-01	1.10140854e+00	5.22076096e-01	5.79332442e-01	-2.86281731e-02	1.08443232e-05	1.58696335e-05	2.59594255e-05	2.88493462e-05	-2.88992068e-06
2000            	2.38908339e-01	1.19453891e-01	1.19454448e-01	1.10151378e+00	5.22169856e-01	5.79343926e-01	-2.85870351e-02	-2.78885298e-07	-2.11461344e-05	-2.85052469e-05	-3.53987578e-05	6.89351095e-06
2050            	2.38901802e-01	1.19461347e-01	1.19440454e-01	1.10167892e+00	5.22280545e-01	5.79398373e-01	-2.85589138e-02	1.04463319e-05	1.55426001e-05	2.54673224e-05	2.82762613e-05	-2.80893892e-06
2100            	2.38931340e-01	1.19469992e-01	1.19461348e-01	1.10167137e+00	5.22237369e-01	5.79433998e-01	-2.85983143e-02	4.32173952e-06	-1.62266159e-06	-1.85732153e-07	-1.71552767e-06	1.52979552e-06
