# Region type : patch intake_duct
# Faces        : 7104
# Area         : 4.6974926e+00
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
2310           	-1.4092478e+00
2320           	-1.4092478e+00
2330           	-1.4092478e+00
2340           	-1.4092478e+00
2350           	-1.4092478e+00
2360           	-1.4092478e+00
2370           	-1.4092478e+00
2380           	-1.4092478e+00
2390           	-1.4092478e+00
2400           	-1.4092478e+00
2410           	-1.4092478e+00
2420           	-1.4092478e+00
2430           	-1.4092478e+00
2440           	-1.4092478e+00
2450           	-1.4092478e+00
2460           	-1.4092478e+00
2470           	-1.4092478e+00
2480           	-1.4092478e+00
2490           	-1.4092478e+00
2500           	-1.4092478e+00
2510           	-1.4092478e+00
2520           	-1.4092478e+00
2530           	-1.4092478e+00
2540           	-1.4092478e+00
2550           	-1.4092478e+00
2560           	-1.4092478e+00
2570           	-1.4092478e+00
2580           	-1.4092478e+00
2590           	-1.4092478e+00
2600           	-1.4092478e+00
2610           	-1.4092478e+00
2620           	-1.4092478e+00
2630           	-1.4092478e+00
2640           	-1.4092478e+00
2650           	-1.4092478e+00
2660           	-1.4092478e+00
2670           	-1.4092478e+00
2680           	-1.4092478e+00
2690           	-1.4092478e+00
2700           	-1.4092478e+00
2710           	-1.4092478e+00
2720           	-1.4092478e+00
2730           	-1.4092478e+00
2740           	-1.4092478e+00
2750           	-1.4092478e+00
2760           	-1.4092478e+00
2770           	-1.4092478e+00
2780           	-1.4092478e+00
2790           	-1.4092478e+00
2800           	-1.4092478e+00
2810           	-1.4092478e+00
2820           	-1.4092478e+00
2830           	-1.4092478e+00
2840           	-1.4092478e+00
2850           	-1.4092478e+00
2860           	-1.4092478e+00
2870           	-1.4092478e+00
2880           	-1.4092478e+00
2890           	-1.4092478e+00
2900           	-1.4092478e+00
2910           	-1.4092478e+00
2920           	-1.4092478e+00
2930           	-1.4092478e+00
2940           	-1.4092478e+00
2950           	-1.4092478e+00
2960           	-1.4092478e+00
2970           	-1.4092478e+00
2980           	-1.4092478e+00
2990           	-1.4092478e+00
3000           	-1.4092478e+00
3010           	-1.4092478e+00
3020           	-1.4092478e+00
3030           	-1.4092478e+00
3040           	-1.4092478e+00
3050           	-1.4092478e+00
3060           	-1.4092478e+00
3070           	-1.4092478e+00
3080           	-1.4092478e+00
3090           	-1.4092478e+00
3100           	-1.4092478e+00
3110           	-1.4092478e+00
3120           	-1.4092478e+00
3130           	-1.4092478e+00
3140           	-1.4092478e+00
3150           	-1.4092478e+00
3160           	-1.4092478e+00
3170           	-1.4092478e+00
3180           	-1.4092478e+00
3190           	-1.4092478e+00
3200           	-1.4092478e+00
3210           	-1.4092478e+00
3220           	-1.4092478e+00
3230           	-1.4092478e+00
3240           	-1.4092478e+00
3250           	-1.4092478e+00
3260           	-1.4092478e+00
3270           	-1.4092478e+00
3280           	-1.4092478e+00
3290           	-1.4092478e+00
3300           	-1.4092478e+00
3310           	-1.4092478e+00
3320           	-1.4092478e+00
3330           	-1.4092478e+00
3340           	-1.4092478e+00
3350           	-1.4092478e+00
3360           	-1.4092478e+00
3370           	-1.4092478e+00
3380           	-1.4092478e+00
3390           	-1.4092478e+00
3400           	-1.4092478e+00
3410           	-1.4092478e+00
3420           	-1.4092478e+00
3430           	-1.4092478e+00
3440           	-1.4092478e+00
3450           	-1.4092478e+00
3460           	-1.4092478e+00
3470           	-1.4092478e+00
3480           	-1.4092478e+00
3490           	-1.4092478e+00
3500           	-1.4092478e+00
3510           	-1.4092478e+00
3520           	-1.4092478e+00
3530           	-1.4092478e+00
3540           	-1.4092478e+00
3550           	-1.4092478e+00
3560           	-1.4092478e+00
3570           	-1.4092478e+00
3580           	-1.4092478e+00
3590           	-1.4092478e+00
3600           	-1.4092478e+00
3610           	-1.4092478e+00
3620           	-1.4092478e+00
3630           	-1.4092478e+00
3640           	-1.4092478e+00
3650           	-1.4092478e+00
3660           	-1.4092478e+00
3670           	-1.4092478e+00
3680           	-1.4092478e+00
3690           	-1.4092478e+00
3700           	-1.4092478e+00
3710           	-1.4092478e+00
3720           	-1.4092478e+00
3730           	-1.4092478e+00
3740           	-1.4092478e+00
3750           	-1.4092478e+00
