# Region type : patch vent_door
# Faces        : 660
# Area         : 4.2871990e-01
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
2490           	1.4092439e+00
2500           	1.4092392e+00
2510           	1.4092374e+00
2520           	1.4092334e+00
2530           	1.4092610e+00
2540           	1.4091504e+00
2550           	1.4092452e+00
2560           	1.4092515e+00
2570           	1.4092476e+00
2580           	1.4089285e+00
2590           	1.4092456e+00
2600           	1.4089208e+00
2610           	1.4092407e+00
2620           	1.4092825e+00
2630           	1.4092145e+00
2640           	1.4091434e+00
2650           	1.4091975e+00
2660           	1.4093535e+00
2670           	1.4091545e+00
2680           	1.4093585e+00
2690           	1.4092252e+00
2700           	1.4092733e+00
2710           	1.4092478e+00
2720           	1.4091648e+00
2730           	1.4093130e+00
2740           	1.4089869e+00
2750           	1.4092566e+00
2760           	1.4092541e+00
2770           	1.4092058e+00
2780           	1.4092877e+00
2790           	1.4092575e+00
2800           	1.4091039e+00
2810           	1.4092362e+00
2820           	1.4091897e+00
2830           	1.4092250e+00
2840           	1.4092561e+00
2850           	1.4092025e+00
2860           	1.4092407e+00
2870           	1.4091370e+00
2880           	1.4093421e+00
2890           	1.4091764e+00
2900           	1.4092411e+00
2910           	1.4090577e+00
2920           	1.4092292e+00
2930           	1.4092319e+00
2940           	1.4092542e+00
2950           	1.4090679e+00
2960           	1.4092547e+00
2970           	1.4092732e+00
2980           	1.4093546e+00
2990           	1.4092586e+00
3000           	1.4091613e+00
3010           	1.4090455e+00
3020           	1.4090644e+00
3030           	1.4092071e+00
3040           	1.4093087e+00
3050           	1.4091259e+00
3060           	1.4092113e+00
3070           	1.4091805e+00
3080           	1.4092258e+00
3090           	1.4094278e+00
3100           	1.4092232e+00
3110           	1.4092598e+00
3120           	1.4092503e+00
3130           	1.4092325e+00
3140           	1.4093199e+00
3150           	1.4093878e+00
3160           	1.4092554e+00
3170           	1.4092650e+00
3180           	1.4091199e+00
3190           	1.4092584e+00
3200           	1.4092574e+00
3210           	1.4093029e+00
3220           	1.4092526e+00
3230           	1.4092453e+00
3240           	1.4094608e+00
3250           	1.4092274e+00
3260           	1.4093399e+00
3270           	1.4091349e+00
3280           	1.4092453e+00
3290           	1.4092305e+00
3300           	1.4092456e+00
3310           	1.4092373e+00
3320           	1.4090467e+00
3330           	1.4092992e+00
3340           	1.4091854e+00
3350           	1.4093072e+00
3360           	1.4094486e+00
3370           	1.4092265e+00
3380           	1.4090642e+00
3390           	1.4094759e+00
3400           	1.4092005e+00
3410           	1.4091239e+00
3420           	1.4089486e+00
3430           	1.4092596e+00
3440           	1.4094665e+00
3450           	1.4092578e+00
3460           	1.4092309e+00
3470           	1.4091329e+00
3480           	1.4092149e+00
3490           	1.4091803e+00
3500           	1.4092736e+00
3510           	1.4091605e+00
3520           	1.4091872e+00
3530           	1.4090419e+00
3540           	1.4092986e+00
3550           	1.4092407e+00
3560           	1.4092050e+00
3570           	1.4094883e+00
3580           	1.4094903e+00
3590           	1.4095030e+00
3600           	1.4092140e+00
3610           	1.4092377e+00
3620           	1.4092712e+00
3630           	1.4094090e+00
3640           	1.4092971e+00
3650           	1.4092891e+00
3660           	1.4092499e+00
3670           	1.4092648e+00
3680           	1.4092106e+00
3690           	1.4093361e+00
3700           	1.4092000e+00
3710           	1.4090641e+00
3720           	1.4089675e+00
3730           	1.4092483e+00
3740           	1.4092340e+00
3750           	1.4091278e+00
3760           	1.4092366e+00
3770           	1.4092831e+00
3780           	1.4092248e+00
3790           	1.4092199e+00
3800           	1.4092601e+00
3810           	1.4092613e+00
3820           	1.4092470e+00
3830           	1.4094072e+00
3840           	1.4089835e+00
3850           	1.4090448e+00
3860           	1.4092573e+00
3870           	1.4092046e+00
3880           	1.4092768e+00
3890           	1.4092174e+00
3900           	1.4092264e+00
3910           	1.4092293e+00
3920           	1.4092311e+00
3930           	1.4093866e+00
3940           	1.4091033e+00
3950           	1.4090149e+00
3960           	1.4092517e+00
3970           	1.4092681e+00
3980           	1.4094776e+00
3990           	1.4092732e+00
4000           	1.4092465e+00
4010           	1.4092873e+00
4020           	1.4092857e+00
4030           	1.4092245e+00
4040           	1.4092725e+00
4050           	1.4092360e+00
4060           	1.4092456e+00
4070           	1.4093072e+00
4080           	1.4093246e+00
4090           	1.4092365e+00
4100           	1.4092960e+00
4110           	1.4089602e+00
4120           	1.4092500e+00
4130           	1.4093854e+00
4140           	1.4091541e+00
4150           	1.4090539e+00
4160           	1.4090572e+00
4170           	1.4092792e+00
4180           	1.4092303e+00
4190           	1.4092172e+00
4200           	1.4092268e+00
4210           	1.4092701e+00
4220           	1.4090576e+00
4230           	1.4092607e+00
4240           	1.4094661e+00
4250           	1.4094945e+00
4260           	1.4091563e+00
4270           	1.4092336e+00
4280           	1.4090189e+00
4290           	1.4092338e+00
4300           	1.4092729e+00
4310           	1.4093486e+00
4320           	1.4093768e+00
4330           	1.4092525e+00
4340           	1.4091789e+00
4350           	1.4092422e+00
4360           	1.4094997e+00
4370           	1.4091905e+00
4380           	1.4090382e+00
4390           	1.4092281e+00
4400           	1.4092286e+00
4410           	1.4092467e+00
4420           	1.4092007e+00
4430           	1.4092933e+00
4440           	1.4092106e+00
4450           	1.4092523e+00
4460           	1.4092515e+00
4470           	1.4092614e+00
4480           	1.4092264e+00
4490           	1.4092201e+00
4500           	1.4091755e+00
4510           	1.4091201e+00
4520           	1.4092859e+00
4530           	1.4093011e+00
4540           	1.4092362e+00
4550           	1.4091836e+00
4560           	1.4092413e+00
4570           	1.4093228e+00
4580           	1.4092932e+00
4590           	1.4092593e+00
4600           	1.4092680e+00
4610           	1.4091992e+00
4620           	1.4092296e+00
4630           	1.4092804e+00
4640           	1.4093916e+00
4650           	1.4091990e+00
4660           	1.4094759e+00
4670           	1.4091785e+00
4680           	1.4092249e+00
4690           	1.4092380e+00
4700           	1.4089998e+00
4710           	1.4091910e+00
4720           	1.4091105e+00
4730           	1.4092262e+00
4740           	1.4092625e+00
4750           	1.4092704e+00
4760           	1.4092339e+00
4770           	1.4093156e+00
4780           	1.4092023e+00
4790           	1.4092479e+00
4800           	1.4092800e+00
4810           	1.4092826e+00
4820           	1.4093024e+00
4830           	1.4091568e+00
4840           	1.4091602e+00
4850           	1.4092462e+00
4860           	1.4092169e+00
4870           	1.4092531e+00
4880           	1.4092423e+00
4890           	1.4092671e+00
4900           	1.4095030e+00
4910           	1.4091800e+00
4920           	1.4092305e+00
4930           	1.4092815e+00
4940           	1.4092404e+00
4950           	1.4088732e+00
4960           	1.4092546e+00
4970           	1.4092837e+00
4980           	1.4090727e+00
4990           	1.4092962e+00
5000           	1.4092451e+00
