# Region type : patch farfield
# Faces         : 1280
# Area          : 4.29356266e-01
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)	areaAverage(T)	areaAverage(U)
586             	3.84946680e+04	2.88219447e+02	(2.49201228e+02 -7.54288244e-16 1.16122378e+01)
587             	3.84964582e+04	2.88220261e+02	(2.49214147e+02 -7.54298571e-16 1.16139249e+01)
588             	3.84983173e+04	2.88221131e+02	(2.49227670e+02 -7.54308827e-16 1.16156078e+01)
589             	3.85002521e+04	2.88221801e+02	(2.49241690e+02 -7.54318401e-16 1.16173084e+01)
590             	3.85022507e+04	2.88222514e+02	(2.49256289e+02 -7.54331716e-16 1.16190009e+01)
591             	3.85043122e+04	2.88222975e+02	(2.49271266e+02 -7.54339187e-16 1.16206791e+01)
592             	3.85064254e+04	2.88223440e+02	(2.49286668e+02 -7.54352761e-16 1.16223301e+01)
593             	3.85085938e+04	2.88223689e+02	(2.49302376e+02 -7.54362405e-16 1.16239812e+01)
594             	3.85108091e+04	2.88223980e+02	(2.49318456e+02 -7.54377635e-16 1.16256164e+01)
595             	3.85130752e+04	2.88224066e+02	(2.49334764e+02 -7.54387854e-16 1.16272568e+01)
596             	3.85153832e+04	2.88224183e+02	(2.49351339e+02 -7.54400804e-16 1.16288572e+01)
597             	3.85177346e+04	2.88224099e+02	(2.49368063e+02 -7.54407913e-16 1.16304446e+01)
598             	3.85201201e+04	2.88224057e+02	(2.49384979e+02 -7.54416949e-16 1.16319629e+01)
599             	3.85225403e+04	2.88223843e+02	(2.49401984e+02 -7.54423446e-16 1.16334480e+01)
600             	3.85249843e+04	2.88223675e+02	(2.49419099e+02 -7.54431020e-16 1.16348453e+01)
601             	3.85274536e+04	2.88223315e+02	(2.49436234e+02 -7.54437235e-16 1.16362037e+01)
602             	3.85299387e+04	2.88222965e+02	(2.49453420e+02 -7.54443728e-16 1.16374643e+01)
603             	3.85324419e+04	2.88222449e+02	(2.49470590e+02 -7.54450148e-16 1.16386817e+01)
604             	3.85349540e+04	2.88221957e+02	(2.49487764e+02 -7.54456683e-16 1.16397896e+01)
605             	3.85374787e+04	2.88221271e+02	(2.49504866e+02 -7.54459057e-16 1.16408497e+01)
606             	3.85400066e+04	2.88220572e+02	(2.49521911e+02 -7.54460049e-16 1.16417900e+01)
607             	3.85425333e+04	2.88219680e+02	(2.49538851e+02 -7.54453784e-16 1.16426653e+01)
608             	3.85450560e+04	2.88218683e+02	(2.49555730e+02 -7.54434552e-16 1.16434741e+01)
609             	3.85475694e+04	2.88217723e+02	(2.49572474e+02 -7.54417949e-16 1.16441253e+01)
610             	3.85500743e+04	2.88216563e+02	(2.49589036e+02 -7.54401012e-16 1.16447151e+01)
611             	3.85525553e+04	2.88215309e+02	(2.49605415e+02 -7.54385852e-16 1.16451728e+01)
612             	3.85550109e+04	2.88213905e+02	(2.49621574e+02 -7.54376838e-16 1.16455734e+01)
613             	3.85574416e+04	2.88212411e+02	(2.49637516e+02 -7.54370834e-16 1.16459285e+01)
614             	3.85598365e+04	2.88210888e+02	(2.49653171e+02 -7.54361622e-16 1.16461499e+01)
615             	3.85621928e+04	2.88209159e+02	(2.49668496e+02 -7.54361743e-16 1.16463470e+01)
616             	3.85645017e+04	2.88207338e+02	(2.49683436e+02 -7.54371561e-16 1.16464324e+01)
617             	3.85667670e+04	2.88205402e+02	(2.49697998e+02 -7.54377357e-16 1.16464937e+01)
618             	3.85689784e+04	2.88203407e+02	(2.49712091e+02 -7.54382346e-16 1.16464496e+01)
619             	3.85711412e+04	2.88201307e+02	(2.49725745e+02 -7.54383412e-16 1.16463903e+01)
620             	3.85732436e+04	2.88199145e+02	(2.49738876e+02 -7.54385164e-16 1.16462243e+01)
621             	3.85752801e+04	2.88196911e+02	(2.49751444e+02 -7.54384271e-16 1.16460249e+01)
622             	3.85772511e+04	2.88194630e+02	(2.49763426e+02 -7.54388074e-16 1.16457982e+01)
623             	3.85791487e+04	2.88192356e+02	(2.49774748e+02 -7.54404515e-16 1.16454508e+01)
624             	3.85809753e+04	2.88189998e+02	(2.49785439e+02 -7.54420497e-16 1.16450891e+01)
625             	3.85827220e+04	2.88187592e+02	(2.49795460e+02 -7.54428711e-16 1.16446268e+01)
626             	3.85843851e+04	2.88185205e+02	(2.49804850e+02 -7.54418246e-16 1.16441378e+01)
627             	3.85859651e+04	2.88182808e+02	(2.49813604e+02 -7.54386883e-16 1.16436337e+01)
628             	3.85874510e+04	2.88180397e+02	(2.49821693e+02 -7.54337214e-16 1.16430179e+01)
629             	3.85888455e+04	2.88177951e+02	(2.49829183e+02 -7.54287396e-16 1.16423875e+01)
630             	3.85901432e+04	2.88175470e+02	(2.49836040e+02 -7.54248174e-16 1.16416648e+01)
631             	3.85913427e+04	2.88173071e+02	(2.49842329e+02 -7.54218840e-16 1.16409236e+01)
632             	3.85924492e+04	2.88170704e+02	(2.49848029e+02 -7.54192623e-16 1.16401888e+01)
633             	3.85934550e+04	2.88168334e+02	(2.49853108e+02 -7.54170050e-16 1.16393754e+01)
634             	3.85943646e+04	2.88165972e+02	(2.49857641e+02 -7.54151329e-16 1.16385689e+01)
635             	3.85951760e+04	2.88163591e+02	(2.49861578e+02 -7.54129208e-16 1.16376895e+01)
636             	3.85958918e+04	2.88161311e+02	(2.49864987e+02 -7.54096727e-16 1.16368277e+01)
637             	3.85965079e+04	2.88158991e+02	(2.49867784e+02 -7.54052941e-16 1.16359155e+01)
638             	3.85970285e+04	2.88156773e+02	(2.49870036e+02 -7.54006958e-16 1.16350245e+01)
639             	3.85974516e+04	2.88154550e+02	(2.49871657e+02 -7.53956224e-16 1.16340753e+01)
640             	3.85977802e+04	2.88152450e+02	(2.49872716e+02 -7.53901147e-16 1.16331378e+01)
641             	3.85980086e+04	2.88150323e+02	(2.49873108e+02 -7.53845850e-16 1.16321484e+01)
642             	3.85981379e+04	2.88148332e+02	(2.49872905e+02 -7.53800442e-16 1.16311702e+01)
643             	3.85981661e+04	2.88146323e+02	(2.49871997e+02 -7.53761150e-16 1.16301367e+01)
644             	3.85980970e+04	2.88144443e+02	(2.49870461e+02 -7.53729211e-16 1.16291060e+01)
645             	3.85979292e+04	2.88142521e+02	(2.49868216e+02 -7.53698520e-16 1.16280195e+01)
646             	3.85976655e+04	2.88140749e+02	(2.49865368e+02 -7.53671264e-16 1.16269295e+01)
647             	3.85973054e+04	2.88138948e+02	(2.49861838e+02 -7.53642273e-16 1.16257937e+01)
648             	3.85968509e+04	2.88137316e+02	(2.49857733e+02 -7.53616390e-16 1.16246633e+01)
649             	3.85963006e+04	2.88135653e+02	(2.49852971e+02 -7.53588735e-16 1.16234981e+01)
650             	3.85956568e+04	2.88134164e+02	(2.49847678e+02 -7.53564790e-16 1.16223451e+01)
651             	3.85949194e+04	2.88132655e+02	(2.49841763e+02 -7.53540736e-16 1.16211676e+01)
652             	3.85940909e+04	2.88131329e+02	(2.49835377e+02 -7.53521606e-16 1.16200010e+01)
653             	3.85931713e+04	2.88129985e+02	(2.49828446e+02 -7.53499427e-16 1.16188134e+01)
654             	3.85921623e+04	2.88128832e+02	(2.49821094e+02 -7.53481985e-16 1.16176364e+01)
655             	3.85910637e+04	2.88127666e+02	(2.49813211e+02 -7.53460064e-16 1.16164429e+01)
656             	3.85898761e+04	2.88126677e+02	(2.49804912e+02 -7.53443362e-16 1.16152544e+01)
657             	3.85886034e+04	2.88125667e+02	(2.49796089e+02 -7.53422462e-16 1.16140480e+01)
658             	3.85872470e+04	2.88124834e+02	(2.49786843e+02 -7.53409282e-16 1.16128378e+01)
659             	3.85858085e+04	2.88123972e+02	(2.49777063e+02 -7.53393007e-16 1.16116054e+01)
660             	3.85842940e+04	2.88123278e+02	(2.49766870e+02 -7.53383564e-16 1.16103628e+01)
661             	3.85827114e+04	2.88122542e+02	(2.49756181e+02 -7.53371138e-16 1.16091145e+01)
662             	3.85810634e+04	2.88121957e+02	(2.49745115e+02 -7.53364641e-16 1.16078719e+01)
663             	3.85793555e+04	2.88121324e+02	(2.49733584e+02 -7.53356651e-16 1.16066444e+01)
664             	3.85775853e+04	2.88120860e+02	(2.49721692e+02 -7.53355152e-16 1.16054303e+01)
665             	3.85757600e+04	2.88120376e+02	(2.49709355e+02 -7.53350327e-16 1.16042384e+01)
666             	3.85738805e+04	2.88120090e+02	(2.49696682e+02 -7.53350139e-16 1.16030469e+01)
667             	3.85719556e+04	2.88119783e+02	(2.49683616e+02 -7.53348663e-16 1.16018736e+01)
668             	3.85699832e+04	2.88119644e+02	(2.49670265e+02 -7.53352138e-16 1.16007046e+01)
669             	3.85679727e+04	2.88119471e+02	(2.49656567e+02 -7.53354375e-16 1.15995649e+01)
670             	3.85659219e+04	2.88119475e+02	(2.49642625e+02 -7.53362623e-16 1.15984307e+01)
671             	3.85638398e+04	2.88119475e+02	(2.49628401e+02 -7.53374301e-16 1.15973321e+01)
672             	3.85617297e+04	2.88119669e+02	(2.49614030e+02 -7.53393865e-16 1.15962323e+01)
673             	3.85595980e+04	2.88119986e+02	(2.49599363e+02 -7.53416775e-16 1.15951424e+01)
674             	3.85574420e+04	2.88120268e+02	(2.49584418e+02 -7.53438267e-16 1.15941055e+01)
675             	3.85552701e+04	2.88120733e+02	(2.49569383e+02 -7.53459782e-16 1.15930806e+01)
676             	3.85530914e+04	2.88121363e+02	(2.49554328e+02 -7.53486805e-16 1.15920805e+01)
677             	3.85509012e+04	2.88121972e+02	(2.49539286e+02 -7.53509074e-16 1.15911632e+01)
678             	3.85487069e+04	2.88122743e+02	(2.49524335e+02 -7.53537077e-16 1.15902770e+01)
679             	3.85465194e+04	2.88123648e+02	(2.49509368e+02 -7.53570041e-16 1.15894221e+01)
680             	3.85443332e+04	2.88124466e+02	(2.49494433e+02 -7.53596996e-16 1.15886672e+01)
681             	3.85421550e+04	2.88125427e+02	(2.49479638e+02 -7.53616075e-16 1.15879548e+01)
682             	3.85399918e+04	2.88126530e+02	(2.49464919e+02 -7.53632215e-16 1.15872820e+01)
683             	3.85378399e+04	2.88127578e+02	(2.49450337e+02 -7.53633752e-16 1.15867253e+01)
684             	3.85357023e+04	2.88128771e+02	(2.49435998e+02 -7.53639247e-16 1.15862261e+01)
685             	3.85335826e+04	2.88130076e+02	(2.49421824e+02 -7.53647756e-16 1.15857828e+01)
686             	3.85314746e+04	2.88131304e+02	(2.49407861e+02 -7.53646664e-16 1.15854839e+01)
687             	3.85293846e+04	2.88132673e+02	(2.49394196e+02 -7.53641258e-16 1.15852461e+01)
688             	3.85273176e+04	2.88134150e+02	(2.49380746e+02 -7.53639702e-16 1.15850519e+01)
689             	3.85252751e+04	2.88135546e+02	(2.49367581e+02 -7.53628666e-16 1.15849985e+01)
690             	3.85232620e+04	2.88137071e+02	(2.49354751e+02 -7.53623396e-16 1.15850083e+01)
691             	3.85212801e+04	2.88138666e+02	(2.49342203e+02 -7.53621255e-16 1.15850546e+01)
692             	3.85193327e+04	2.88140187e+02	(2.49329978e+02 -7.53617109e-16 1.15852161e+01)
693             	3.85174195e+04	2.88141832e+02	(2.49318063e+02 -7.53619405e-16 1.15853876e+01)
694             	3.85155527e+04	2.88143524e+02	(2.49306463e+02 -7.53626394e-16 1.15856390e+01)
695             	3.85137354e+04	2.88145257e+02	(2.49295191e+02 -7.53641812e-16 1.15859002e+01)
696             	3.85119716e+04	2.88147018e+02	(2.49284310e+02 -7.53644009e-16 1.15861859e+01)
697             	3.85102675e+04	2.88148810e+02	(2.49273815e+02 -7.53628596e-16 1.15865007e+01)
698             	3.85086274e+04	2.88150624e+02	(2.49263713e+02 -7.53624849e-16 1.15868457e+01)
699             	3.85070516e+04	2.88152451e+02	(2.49253998e+02 -7.53641260e-16 1.15872179e+01)
700             	3.85055412e+04	2.88154286e+02	(2.49244688e+02 -7.53661820e-16 1.15876112e+01)
701             	3.85041025e+04	2.88156135e+02	(2.49235819e+02 -7.53679584e-16 1.15880269e+01)
702             	3.85027375e+04	2.88157998e+02	(2.49227412e+02 -7.53695997e-16 1.15884784e+01)
703             	3.85014487e+04	2.88159876e+02	(2.49219490e+02 -7.53712674e-16 1.15889741e+01)
704             	3.85002419e+04	2.88161759e+02	(2.49212078e+02 -7.53734605e-16 1.15895164e+01)
705             	3.84991219e+04	2.88163650e+02	(2.49205196e+02 -7.53756927e-16 1.15901064e+01)
706             	3.84980902e+04	2.88165541e+02	(2.49198860e+02 -7.53780200e-16 1.15907447e+01)
707             	3.84971456e+04	2.88167427e+02	(2.49193073e+02 -7.53803959e-16 1.15914284e+01)
708             	3.84962873e+04	2.88169304e+02	(2.49187840e+02 -7.53828045e-16 1.15921599e+01)
709             	3.84955149e+04	2.88171169e+02	(2.49183164e+02 -7.53849727e-16 1.15929429e+01)
710             	3.84948277e+04	2.88173017e+02	(2.49179061e+02 -7.53867638e-16 1.15937798e+01)
711             	3.84942257e+04	2.88174838e+02	(2.49175539e+02 -7.53884864e-16 1.15946736e+01)
712             	3.84937089e+04	2.88176630e+02	(2.49172605e+02 -7.53900700e-16 1.15956220e+01)
713             	3.84932741e+04	2.88178393e+02	(2.49170253e+02 -7.53915080e-16 1.15966043e+01)
714             	3.84929282e+04	2.88180186e+02	(2.49168522e+02 -7.53927516e-16 1.15976704e+01)
715             	3.84926694e+04	2.88181914e+02	(2.49167346e+02 -7.53938966e-16 1.15987687e+01)
716             	3.84924904e+04	2.88183576e+02	(2.49166766e+02 -7.53953556e-16 1.15998818e+01)
717             	3.84924028e+04	2.88185221e+02	(2.49166806e+02 -7.53970707e-16 1.16010640e+01)
718             	3.84924019e+04	2.88186859e+02	(2.49167374e+02 -7.53985810e-16 1.16022617e+01)
719             	3.84924890e+04	2.88188533e+02	(2.49168573e+02 -7.54003546e-16 1.16035129e+01)
720             	3.84926643e+04	2.88190067e+02	(2.49170313e+02 -7.54019816e-16 1.16047717e+01)
721             	3.84929224e+04	2.88191537e+02	(2.49172629e+02 -7.54036972e-16 1.16060167e+01)
722             	3.84932708e+04	2.88193034e+02	(2.49175555e+02 -7.54054277e-16 1.16072889e+01)
723             	3.84937040e+04	2.88194426e+02	(2.49178992e+02 -7.54067343e-16 1.16085514e+01)
724             	3.84942103e+04	2.88195719e+02	(2.49183020e+02 -7.54079410e-16 1.16097907e+01)
725             	3.84948008e+04	2.88196990e+02	(2.49187633e+02 -7.54092660e-16 1.16110460e+01)
726             	3.84954704e+04	2.88198197e+02	(2.49192710e+02 -7.54102634e-16 1.16122943e+01)
727             	3.84962178e+04	2.88199419e+02	(2.49198389e+02 -7.54112622e-16 1.16135763e+01)
728             	3.84970450e+04	2.88200466e+02	(2.49204566e+02 -7.54120269e-16 1.16148547e+01)
729             	3.84979511e+04	2.88201535e+02	(2.49211298e+02 -7.54130697e-16 1.16161532e+01)
730             	3.84989326e+04	2.88202461e+02	(2.49218512e+02 -7.54139586e-16 1.16174462e+01)
731             	3.84999864e+04	2.88203416e+02	(2.49226283e+02 -7.54150571e-16 1.16187538e+01)
732             	3.85011078e+04	2.88204220e+02	(2.49234473e+02 -7.54159025e-16 1.16200683e+01)
733             	3.85022890e+04	2.88204948e+02	(2.49243138e+02 -7.54167460e-16 1.16213862e+01)
734             	3.85035378e+04	2.88205708e+02	(2.49252254e+02 -7.54179223e-16 1.16227225e+01)
735             	3.85048518e+04	2.88206365e+02	(2.49261686e+02 -7.54189856e-16 1.16240761e+01)
736             	3.85062224e+04	2.88207037e+02	(2.49271561e+02 -7.54201347e-16 1.16254554e+01)
737             	3.85076512e+04	2.88207558e+02	(2.49281788e+02 -7.54212064e-16 1.16268508e+01)
738             	3.85091332e+04	2.88208109e+02	(2.49292407e+02 -7.54224421e-16 1.16282551e+01)
739             	3.85106678e+04	2.88208476e+02	(2.49303326e+02 -7.54235026e-16 1.16296709e+01)
740             	3.85122501e+04	2.88208842e+02	(2.49314643e+02 -7.54247007e-16 1.16310901e+01)
741             	3.85138763e+04	2.88209062e+02	(2.49326236e+02 -7.54256625e-16 1.16325261e+01)
742             	3.85155388e+04	2.88209200e+02	(2.49338171e+02 -7.54264903e-16 1.16339728e+01)
743             	3.85172418e+04	2.88209353e+02	(2.49350413e+02 -7.54276660e-16 1.16354039e+01)
744             	3.85189847e+04	2.88209372e+02	(2.49362837e+02 -7.54285466e-16 1.16368429e+01)
745             	3.85207560e+04	2.88209387e+02	(2.49375538e+02 -7.54296641e-16 1.16382674e+01)
746             	3.85225594e+04	2.88209256e+02	(2.49388423e+02 -7.54303707e-16 1.16396914e+01)
747             	3.85243875e+04	2.88209150e+02	(2.49401492e+02 -7.54314845e-16 1.16410836e+01)
748             	3.85262407e+04	2.88208893e+02	(2.49414669e+02 -7.54320980e-16 1.16424684e+01)
749             	3.85281106e+04	2.88208659e+02	(2.49427973e+02 -7.54331132e-16 1.16438074e+01)
750             	3.85299948e+04	2.88208307e+02	(2.49441309e+02 -7.54337196e-16 1.16451314e+01)
751             	3.85318886e+04	2.88207892e+02	(2.49454727e+02 -7.54339906e-16 1.16464361e+01)
752             	3.85337932e+04	2.88207537e+02	(2.49468180e+02 -7.54344282e-16 1.16476674e+01)
753             	3.85357090e+04	2.88207051e+02	(2.49481583e+02 -7.54343524e-16 1.16488754e+01)
754             	3.85376249e+04	2.88206541e+02	(2.49494954e+02 -7.54341436e-16 1.16500161e+01)
755             	3.85395432e+04	2.88205914e+02	(2.49508272e+02 -7.54331009e-16 1.16511280e+01)
756             	3.85414568e+04	2.88205304e+02	(2.49521501e+02 -7.54317701e-16 1.16521590e+01)
757             	3.85433665e+04	2.88204547e+02	(2.49534614e+02 -7.54304608e-16 1.16531602e+01)
758             	3.85452657e+04	2.88203768e+02	(2.49547585e+02 -7.54294517e-16 1.16540694e+01)
759             	3.85471517e+04	2.88202861e+02	(2.49560374e+02 -7.54285239e-16 1.16549380e+01)
760             	3.85490239e+04	2.88201870e+02	(2.49572986e+02 -7.54277913e-16 1.16557649e+01)
761             	3.85508784e+04	2.88200898e+02	(2.49585400e+02 -7.54279616e-16 1.16564834e+01)
762             	3.85527159e+04	2.88199775e+02	(2.49597567e+02 -7.54277929e-16 1.16571605e+01)
763             	3.85545224e+04	2.88198608e+02	(2.49609484e+02 -7.54272450e-16 1.16577450e+01)
764             	3.85562989e+04	2.88197340e+02	(2.49621140e+02 -7.54276831e-16 1.16583011e+01)
765             	3.85580414e+04	2.88196038e+02	(2.49632498e+02 -7.54281490e-16 1.16587617e+01)
766             	3.85597514e+04	2.88194627e+02	(2.49643559e+02 -7.54285564e-16 1.16591966e+01)
767             	3.85614200e+04	2.88193190e+02	(2.49654264e+02 -7.54283310e-16 1.16595402e+01)
768             	3.85630473e+04	2.88191689e+02	(2.49664611e+02 -7.54286022e-16 1.16598532e+01)
769             	3.85646342e+04	2.88190152e+02	(2.49674587e+02 -7.54288842e-16 1.16601433e+01)
770             	3.85661723e+04	2.88188619e+02	(2.49684106e+02 -7.54294066e-16 1.16603365e+01)
771             	3.85676633e+04	2.88186995e+02	(2.49693169e+02 -7.54300698e-16 1.16605047e+01)
772             	3.85690999e+04	2.88185325e+02	(2.49701737e+02 -7.54314257e-16 1.16605775e+01)
773             	3.85704817e+04	2.88183635e+02	(2.49709866e+02 -7.54324740e-16 1.16606225e+01)
774             	3.85718022e+04	2.88181925e+02	(2.49717496e+02 -7.54330431e-16 1.16605676e+01)
775             	3.85730577e+04	2.88180183e+02	(2.49724653e+02 -7.54335604e-16 1.16604652e+01)
776             	3.85742506e+04	2.88178432e+02	(2.49731350e+02 -7.54330595e-16 1.16603266e+01)
777             	3.85753751e+04	2.88176701e+02	(2.49737572e+02 -7.54316916e-16 1.16600913e+01)
778             	3.85764348e+04	2.88174918e+02	(2.49743367e+02 -7.54300389e-16 1.16598429e+01)
779             	3.85774243e+04	2.88173101e+02	(2.49748695e+02 -7.54282747e-16 1.16595248e+01)
780             	3.85783435e+04	2.88171328e+02	(2.49753606e+02 -7.54263838e-16 1.16591925e+01)
781             	3.85791959e+04	2.88169578e+02	(2.49758093e+02 -7.54242611e-16 1.16588482e+01)
782             	3.85799751e+04	2.88167844e+02	(2.49762132e+02 -7.54226702e-16 1.16584223e+01)
783             	3.85806838e+04	2.88166127e+02	(2.49765777e+02 -7.54215393e-16 1.16579854e+01)
784             	3.85813170e+04	2.88164395e+02	(2.49768964e+02 -7.54205556e-16 1.16574715e+01)
785             	3.85818765e+04	2.88162731e+02	(2.49771764e+02 -7.54197013e-16 1.16569500e+01)
786             	3.85823594e+04	2.88161049e+02	(2.49774102e+02 -7.54182518e-16 1.16563633e+01)
787             	3.85827684e+04	2.88159434e+02	(2.49776022e+02 -7.54164918e-16 1.16557707e+01)
788             	3.85830991e+04	2.88157806e+02	(2.49777451e+02 -7.54143164e-16 1.16551225e+01)
789             	3.85833527e+04	2.88156253e+02	(2.49778435e+02 -7.54121307e-16 1.16544564e+01)
790             	3.85835345e+04	2.88154754e+02	(2.49778931e+02 -7.54095977e-16 1.16537838e+01)
791             	3.85836364e+04	2.88153274e+02	(2.49778909e+02 -7.54066550e-16 1.16530542e+01)
792             	3.85836619e+04	2.88151840e+02	(2.49778414e+02 -7.54035322e-16 1.16523210e+01)
793             	3.85836108e+04	2.88150392e+02	(2.49777352e+02 -7.54000038e-16 1.16515398e+01)
794             	3.85834848e+04	2.88149043e+02	(2.49775797e+02 -7.53963544e-16 1.16507577e+01)
795             	3.85832831e+04	2.88147646e+02	(2.49773695e+02 -7.53925041e-16 1.16499373e+01)
796             	3.85830093e+04	2.88146348e+02	(2.49771130e+02 -7.53889505e-16 1.16491170e+01)
797             	3.85826615e+04	2.88145033e+02	(2.49768045e+02 -7.53852331e-16 1.16482626e+01)
798             	3.85822417e+04	2.88143829e+02	(2.49764529e+02 -7.53819514e-16 1.16474073e+01)
799             	3.85817507e+04	2.88142597e+02	(2.49760515e+02 -7.53790648e-16 1.16465182e+01)
800             	3.85811913e+04	2.88141502e+02	(2.49756100e+02 -7.53766777e-16 1.16456237e+01)
801             	3.85805629e+04	2.88140401e+02	(2.49751245e+02 -7.53745553e-16 1.16446956e+01)
802             	3.85798678e+04	2.88139437e+02	(2.49746040e+02 -7.53729876e-16 1.16437606e+01)
803             	3.85791070e+04	2.88138461e+02	(2.49740394e+02 -7.53715651e-16 1.16427955e+01)
804             	3.85782824e+04	2.88137629e+02	(2.49734417e+02 -7.53707497e-16 1.16418245e+01)
805             	3.85773945e+04	2.88136797e+02	(2.49728018e+02 -7.53698716e-16 1.16408297e+01)
806             	3.85764431e+04	2.88136108e+02	(2.49721287e+02 -7.53693570e-16 1.16398293e+01)
807             	3.85754316e+04	2.88135406e+02	(2.49714151e+02 -7.53685086e-16 1.16388084e+01)
808             	3.85743623e+04	2.88134840e+02	(2.49706701e+02 -7.53680078e-16 1.16377814e+01)
809             	3.85732400e+04	2.88134262e+02	(2.49698872e+02 -7.53672704e-16 1.16367473e+01)
810             	3.85720663e+04	2.88133808e+02	(2.49690751e+02 -7.53670110e-16 1.16357192e+01)
811             	3.85708445e+04	2.88133309e+02	(2.49682281e+02 -7.53666265e-16 1.16346965e+01)
812             	3.85695753e+04	2.88132932e+02	(2.49673547e+02 -7.53667575e-16 1.16336824e+01)
813             	3.85682635e+04	2.88132542e+02	(2.49664488e+02 -7.53668332e-16 1.16326754e+01)
814             	3.85669090e+04	2.88132307e+02	(2.49655189e+02 -7.53673380e-16 1.16316722e+01)
815             	3.85655173e+04	2.88132072e+02	(2.49645604e+02 -7.53677220e-16 1.16306811e+01)
816             	3.85640876e+04	2.88131984e+02	(2.49635824e+02 -7.53686064e-16 1.16296944e+01)
817             	3.85626265e+04	2.88131887e+02	(2.49625796e+02 -7.53692060e-16 1.16287299e+01)
818             	3.85611332e+04	2.88131911e+02	(2.49615586e+02 -7.53700907e-16 1.16277737e+01)
819             	3.85596145e+04	2.88131917e+02	(2.49605152e+02 -7.53707512e-16 1.16268439e+01)
820             	3.85580727e+04	2.88132047e+02	(2.49594579e+02 -7.53718809e-16 1.16259180e+01)
821             	3.85565123e+04	2.88132256e+02	(2.49583813e+02 -7.53730843e-16 1.16250031e+01)
822             	3.85549310e+04	2.88132443e+02	(2.49572855e+02 -7.53739638e-16 1.16241305e+01)
823             	3.85533350e+04	2.88132755e+02	(2.49561771e+02 -7.53750137e-16 1.16232618e+01)
824             	3.85517302e+04	2.88133165e+02	(2.49550505e+02 -7.53763225e-16 1.16223970e+01)
825             	3.85501125e+04	2.88133545e+02	(2.49539221e+02 -7.53768333e-16 1.16215918e+01)
826             	3.85484804e+04	2.88134045e+02	(2.49527990e+02 -7.53772687e-16 1.16208138e+01)
827             	3.85468453e+04	2.88134576e+02	(2.49516744e+02 -7.53770383e-16 1.16201007e+01)
828             	3.85452082e+04	2.88135196e+02	(2.49505531e+02 -7.53768498e-16 1.16194215e+01)
829             	3.85435700e+04	2.88135862e+02	(2.49494338e+02 -7.53768275e-16 1.16187816e+01)
830             	3.85419351e+04	2.88136517e+02	(2.49483201e+02 -7.53767702e-16 1.16182299e+01)
831             	3.85403087e+04	2.88137297e+02	(2.49472190e+02 -7.53769627e-16 1.16177197e+01)
832             	3.85386925e+04	2.88138151e+02	(2.49461250e+02 -7.53772912e-16 1.16172483e+01)
833             	3.85370882e+04	2.88138951e+02	(2.49450451e+02 -7.53769193e-16 1.16168720e+01)
834             	3.85354988e+04	2.88139857e+02	(2.49439852e+02 -7.53769904e-16 1.16165457e+01)
835             	3.85339256e+04	2.88140838e+02	(2.49429408e+02 -7.53768180e-16 1.16162696e+01)
836             	3.85323675e+04	2.88141760e+02	(2.49419167e+02 -7.53762293e-16 1.16160980e+01)
837             	3.85308284e+04	2.88142781e+02	(2.49409161e+02 -7.53753475e-16 1.16159754e+01)
838             	3.85293092e+04	2.88143869e+02	(2.49399353e+02 -7.53749059e-16 1.16158850e+01)
839             	3.85278122e+04	2.88144895e+02	(2.49389763e+02 -7.53743629e-16 1.16158900e+01)
840             	3.85263416e+04	2.88146004e+02	(2.49380433e+02 -7.53742643e-16 1.16159275e+01)
841             	3.85248999e+04	2.88147172e+02	(2.49371305e+02 -7.53747365e-16 1.16159835e+01)
842             	3.85234896e+04	2.88148288e+02	(2.49362420e+02 -7.53750514e-16 1.16161180e+01)
843             	3.85221107e+04	2.88149482e+02	(2.49353788e+02 -7.53755963e-16 1.16162639e+01)
844             	3.85207720e+04	2.88150714e+02	(2.49345427e+02 -7.53771425e-16 1.16164679e+01)
845             	3.85194752e+04	2.88151971e+02	(2.49337339e+02 -7.53775609e-16 1.16166774e+01)
846             	3.85182239e+04	2.88153246e+02	(2.49329578e+02 -7.53767492e-16 1.16169040e+01)
847             	3.85170211e+04	2.88154538e+02	(2.49322129e+02 -7.53756497e-16 1.16171598e+01)
848             	3.85158676e+04	2.88155852e+02	(2.49314996e+02 -7.53760188e-16 1.16174500e+01)
849             	3.85147646e+04	2.88157186e+02	(2.49308178e+02 -7.53770357e-16 1.16177733e+01)
850             	3.85137132e+04	2.88158541e+02	(2.49301695e+02 -7.53778573e-16 1.16181317e+01)
851             	3.85127170e+04	2.88159917e+02	(2.49295572e+02 -7.53784214e-16 1.16185265e+01)
852             	3.85117788e+04	2.88161310e+02	(2.49289828e+02 -7.53796678e-16 1.16189619e+01)
853             	3.85109001e+04	2.88162717e+02	(2.49284468e+02 -7.53808257e-16 1.16194410e+01)
854             	3.85100825e+04	2.88164126e+02	(2.49279498e+02 -7.53820830e-16 1.16199676e+01)
855             	3.85093274e+04	2.88165536e+02	(2.49274927e+02 -7.53839795e-16 1.16205417e+01)
856             	3.85086371e+04	2.88166939e+02	(2.49270769e+02 -7.53859650e-16 1.16211565e+01)
857             	3.85080124e+04	2.88168335e+02	(2.49267034e+02 -7.53877857e-16 1.16218145e+01)
