# Region type : patch farfield
# Faces         : 1280
# Area          : 4.29356266e-01
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)	areaAverage(T)	areaAverage(U)
54              	3.87066905e+04	2.88125403e+02	(2.50139734e+02 -7.54382566e-16 1.19858928e+01)
55              	3.87098667e+04	2.88119320e+02	(2.50164119e+02 -7.54184442e-16 1.19715092e+01)
56              	3.87123039e+04	2.88113229e+02	(2.50186286e+02 -7.53984104e-16 1.19567767e+01)
57              	3.87139885e+04	2.88106914e+02	(2.50205925e+02 -7.53771686e-16 1.19419274e+01)
58              	3.87149168e+04	2.88100541e+02	(2.50222947e+02 -7.53542695e-16 1.19271771e+01)
59              	3.87150968e+04	2.88094247e+02	(2.50237269e+02 -7.53313875e-16 1.19127826e+01)
60              	3.87145442e+04	2.88088378e+02	(2.50248860e+02 -7.53097610e-16 1.18987257e+01)
61              	3.87132803e+04	2.88082512e+02	(2.50257549e+02 -7.52884462e-16 1.18853423e+01)
62              	3.87113406e+04	2.88076852e+02	(2.50263341e+02 -7.52691802e-16 1.18726728e+01)
63              	3.87087639e+04	2.88071186e+02	(2.50266255e+02 -7.52513886e-16 1.18608287e+01)
64              	3.87055966e+04	2.88065916e+02	(2.50266398e+02 -7.52360473e-16 1.18497363e+01)
65              	3.87018844e+04	2.88060842e+02	(2.50263885e+02 -7.52216725e-16 1.18394780e+01)
66              	3.86976786e+04	2.88056333e+02	(2.50258797e+02 -7.52097221e-16 1.18299445e+01)
67              	3.86930285e+04	2.88052099e+02	(2.50251275e+02 -7.51986459e-16 1.18212472e+01)
68              	3.86879874e+04	2.88048553e+02	(2.50241434e+02 -7.51891326e-16 1.18132053e+01)
69              	3.86826040e+04	2.88045336e+02	(2.50229409e+02 -7.51805665e-16 1.18059769e+01)
70              	3.86769302e+04	2.88042921e+02	(2.50215346e+02 -7.51742441e-16 1.17993269e+01)
71              	3.86710129e+04	2.88040905e+02	(2.50199395e+02 -7.51700201e-16 1.17934491e+01)
72              	3.86648983e+04	2.88039739e+02	(2.50181691e+02 -7.51677250e-16 1.17881111e+01)
73              	3.86586288e+04	2.88039007e+02	(2.50162351e+02 -7.51672494e-16 1.17835227e+01)
74              	3.86522448e+04	2.88039131e+02	(2.50141517e+02 -7.51677643e-16 1.17794418e+01)
75              	3.86457814e+04	2.88039676e+02	(2.50119269e+02 -7.51691653e-16 1.17760370e+01)
76              	3.86392709e+04	2.88041038e+02	(2.50095769e+02 -7.51713574e-16 1.17731180e+01)
77              	3.86327433e+04	2.88042838e+02	(2.50071057e+02 -7.51740846e-16 1.17708026e+01)
78              	3.86262202e+04	2.88045353e+02	(2.50045304e+02 -7.51771795e-16 1.17689590e+01)
79              	3.86197246e+04	2.88048286e+02	(2.50018483e+02 -7.51809385e-16 1.17676335e+01)
80              	3.86132698e+04	2.88051813e+02	(2.49990749e+02 -7.51855877e-16 1.17667457e+01)
81              	3.86068715e+04	2.88055702e+02	(2.49962041e+02 -7.51908198e-16 1.17662722e+01)
82              	3.86005365e+04	2.88059992e+02	(2.49932521e+02 -7.51968031e-16 1.17661790e+01)
83              	3.85942770e+04	2.88064593e+02	(2.49902171e+02 -7.52037339e-16 1.17663542e+01)
84              	3.85880972e+04	2.88069479e+02	(2.49871201e+02 -7.52119986e-16 1.17668412e+01)
85              	3.85820045e+04	2.88074602e+02	(2.49839563e+02 -7.52214623e-16 1.17674825e+01)
86              	3.85759965e+04	2.88079877e+02	(2.49807436e+02 -7.52314701e-16 1.17683519e+01)
87              	3.85700784e+04	2.88085399e+02	(2.49774741e+02 -7.52416481e-16 1.17692419e+01)
88              	3.85642520e+04	2.88091039e+02	(2.49741655e+02 -7.52517873e-16 1.17701854e+01)
89              	3.85585229e+04	2.88096747e+02	(2.49708224e+02 -7.52615477e-16 1.17711998e+01)
90              	3.85528714e+04	2.88102574e+02	(2.49674605e+02 -7.52709078e-16 1.17720243e+01)
91              	3.85473025e+04	2.88108584e+02	(2.49641047e+02 -7.52794059e-16 1.17728190e+01)
92              	3.85418255e+04	2.88114838e+02	(2.49607443e+02 -7.52887055e-16 1.17733545e+01)
93              	3.85364416e+04	2.88120995e+02	(2.49573851e+02 -7.52973683e-16 1.17736727e+01)
94              	3.85311549e+04	2.88127056e+02	(2.49540148e+02 -7.53070922e-16 1.17737834e+01)
95              	3.85259571e+04	2.88133136e+02	(2.49506330e+02 -7.53159630e-16 1.17735273e+01)
96              	3.85208552e+04	2.88139198e+02	(2.49472585e+02 -7.53243958e-16 1.17730185e+01)
97              	3.85158584e+04	2.88145254e+02	(2.49438849e+02 -7.53312342e-16 1.17721360e+01)
