name,measured,reference,abs_error,rel_error,within_tolerance,tolerance,source
skin_friction_coefficient,N/A,N/A,N/A,N/A,N/A,0.1,reference_status=finalized
reattachment_length_xH,N/A,N/A,N/A,N/A,N/A,0.1,reference_status=finalized
