# Residuals   
# Time        	Ux            	Uy            	p             	k             	omega         
74            	3.349716e-03	3.680667e-02	7.010562e-02	7.024707e-03	2.217568e-03
75            	3.246484e-03	3.655310e-02	6.643214e-02	7.044217e-03	2.187302e-03
76            	3.168973e-03	3.637924e-02	6.742759e-02	7.070770e-03	2.159248e-03
77            	3.091968e-03	3.613415e-02	6.768912e-02	7.101529e-03	2.130888e-03
78            	3.009423e-03	3.587587e-02	7.255501e-02	7.130300e-03	2.101133e-03
79            	2.921501e-03	3.554620e-02	7.928997e-02	7.158354e-03	2.069571e-03
80            	2.829127e-03	3.507166e-02	9.407704e-02	7.186210e-03	2.039200e-03
81            	2.732905e-03	3.476012e-02	1.086241e-01	7.215049e-03	2.011967e-03
82            	2.647453e-03	3.446676e-02	1.241885e-01	7.245145e-03	1.984624e-03
83            	2.567787e-03	3.414461e-02	1.344953e-01	7.275970e-03	1.958398e-03
84            	2.487015e-03	3.375453e-02	1.012928e-01	7.305573e-03	1.931039e-03
85            	2.406236e-03	3.329091e-02	8.328891e-02	7.333226e-03	1.902291e-03
86            	2.323759e-03	3.266366e-02	6.815951e-02	7.359629e-03	1.871286e-03
87            	2.238587e-03	3.213787e-02	5.660674e-02	7.383431e-03	1.838391e-03
88            	2.154996e-03	3.155113e-02	4.648726e-02	7.408278e-03	1.803549e-03
89            	2.077823e-03	3.113279e-02	3.946930e-02	7.433292e-03	1.766046e-03
90            	2.003836e-03	3.059180e-02	3.479359e-02	7.456921e-03	1.725174e-03
91            	1.931424e-03	3.015469e-02	3.303437e-02	7.477757e-03	1.681632e-03
92            	1.863502e-03	2.956824e-02	3.081020e-02	7.494958e-03	1.636523e-03
93            	1.796676e-03	2.892295e-02	2.895775e-02	7.509385e-03	1.587745e-03
94            	1.734395e-03	2.805174e-02	2.697302e-02	7.519509e-03	1.538680e-03
95            	1.679866e-03	2.711510e-02	2.456239e-02	7.527515e-03	1.487425e-03
96            	1.631767e-03	2.633512e-02	2.239276e-02	7.533099e-03	1.433832e-03
97            	1.588410e-03	2.568642e-02	2.123147e-02	7.535870e-03	1.378304e-03
98            	1.554980e-03	2.511396e-02	2.090025e-02	7.535302e-03	1.321326e-03
99            	1.540384e-03	2.464600e-02	2.269839e-02	7.529053e-03	1.263290e-03
