# Region type : patch inlet
# Faces         : 100
# Area          : 3.50000000e-03
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)	areaAverage(rho)	areaAverage(T)	areaAverage(Ma)
0.100096        	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
0.199809        	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
0.299828        	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
0.40022         	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
0.500214        	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
0.60021         	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
0.699822        	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
0.800111        	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
0.899857        	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
1.000005        	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
1.1003235       	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
1.19977681      	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
1.299796466     	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
1.3999419977    	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
1.50027349636   	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
1.599771381004  	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
1.7002620124716 	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
1.80018505421653	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
1.900307215298483	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
1.999697985860446	1.00000000e+00	1.40000504e+00	1.00000000e+00	2.00000504e+00
