station,Re_x,x_m,tau_kin,Cf_actual,Cf_Wieghardt,Delta_pct_W,Cf_SG,Delta_pct_SG
S1,996412.300000,0.199282,9.066225,0.003765,0.003574,5.326771,0.003748,0.450763
S2,1993272.400000,0.398654,7.925542,0.003291,0.003170,3.814659,0.003328,-1.096024
S3,2994397.650000,0.598880,7.350301,0.003052,0.002962,3.032991,0.003112,-1.913191
S4,4011615.650000,0.802323,6.977072,0.002897,0.002825,2.567411,0.002969,-2.412755
S5,4972184.350000,0.994437,6.718574,0.002790,0.002729,2.218728,0.002870,-2.787874
