wall,tau_w_kin_x_sampled,tau_w_kin_analytical,delta_pct,source
bottomWall,1.500000e-04,1.500000e-04,-0.0000,SIMPLEFOAM_LOG final wallShearStress write (min=max=-1.5e-4 x-comp)
topWall,1.500000e-04,1.500000e-04,-0.0000,SIMPLEFOAM_LOG final wallShearStress write (min=max=+1.5e-4 x-comp)
