x_m,p_kinematic_m2_s2
2.375000e-01,-2.915496e-16
2.385000e-01,-2.902810e-16
2.395000e-01,-2.893367e-16
2.405000e-01,-2.894230e-16
2.415000e-01,-2.900004e-16
2.425000e-01,-2.911012e-16
2.435000e-01,-2.915637e-16
2.445000e-01,-2.904352e-16
2.455000e-01,-2.892549e-16
2.465000e-01,-2.890455e-16
2.475000e-01,-2.891847e-16
2.485000e-01,-2.893031e-16
2.495000e-01,-2.889512e-16
2.505000e-01,-2.877645e-16
2.515000e-01,-2.866274e-16
2.525000e-01,-2.860065e-16
2.535000e-01,-2.856806e-16
2.545000e-01,-2.853735e-16
2.555000e-01,-2.846127e-16
2.565000e-01,-2.832580e-16
2.575000e-01,-2.818895e-16
2.585000e-01,-2.810456e-16
2.595000e-01,-2.804927e-16
2.605000e-01,-2.794887e-16
2.615000e-01,-2.781477e-16
2.625000e-01,-2.776951e-16
2.635000e-01,-2.776895e-16
2.645000e-01,-2.766688e-16
2.655000e-01,-2.751028e-16
2.665000e-01,-2.739573e-16
2.675000e-01,-2.730338e-16
2.685000e-01,-2.719825e-16
2.695000e-01,-2.702105e-16
2.705000e-01,-2.678349e-16
2.715000e-01,-2.661389e-16
2.725000e-01,-2.649199e-16
2.735000e-01,-2.638301e-16
2.745000e-01,-2.634367e-16
2.755000e-01,-2.633817e-16
2.765000e-01,-2.633738e-16
2.775000e-01,-2.628445e-16
2.785000e-01,-2.616378e-16
2.795000e-01,-2.605855e-16
2.805000e-01,-2.592005e-16
2.815000e-01,-2.577498e-16
2.825000e-01,-2.573374e-16
2.835000e-01,-2.569848e-16
2.845000e-01,-2.556927e-16
2.855000e-01,-2.539573e-16
2.865000e-01,-2.525636e-16
2.875000e-01,-2.522525e-16
2.885000e-01,-2.519305e-16
2.895000e-01,-2.498281e-16
2.905000e-01,-2.473308e-16
2.915000e-01,-2.462773e-16
2.925000e-01,-2.457719e-16
2.935000e-01,-2.451171e-16
2.945000e-01,-2.451222e-16
2.955000e-01,-2.451029e-16
2.965000e-01,-2.438262e-16
2.975000e-01,-2.421496e-16
2.985000e-01,-2.410232e-16
2.995000e-01,-2.402524e-16
3.005000e-01,-2.399324e-16
3.015000e-01,-2.399795e-16
3.025000e-01,-2.400697e-16
3.035000e-01,-2.397552e-16
3.045000e-01,-2.386199e-16
3.055000e-01,-2.379849e-16
3.065000e-01,-2.384202e-16
3.075000e-01,-2.386803e-16
3.085000e-01,-2.383934e-16
3.095000e-01,-2.377748e-16
3.105000e-01,-2.363953e-16
